//              Time(s)       Moment[Z](Revolution:2)(N.mm) 
               0.00000       590783.00000 
               0.00402       618056.00000 
               0.00803       645394.00000 
               0.01205       672856.00000 
               0.01606       700506.00000 
               0.02008       728464.00000 
               0.02410       756704.00000 
               0.02811       785818.00000 
               0.03213       814110.00000 
               0.03614       815603.00000 
               0.04016       818820.00000 
               0.04418       822236.00000 
               0.04819       826268.00000 
               0.05221       830797.00000 
               0.05622       835848.00000 
               0.06024       841410.00000 
               0.06426       847478.00000 
               0.06827       854046.00000 
               0.07229       861107.00000 
               0.07630       868655.00000 
               0.08032       876683.00000 
               0.08434       885181.00000 
               0.08835       894142.00000 
               0.09237       903557.00000 
               0.09638       913415.00000 
               0.10040       923706.00000 
               0.10442       934419.00000 
               0.10843       945547.00000 
               0.11245       957050.00000 
               0.11646       969037.00000 
               0.12048       980955.00000 
               0.12450       995122.00000 
               0.12851       1001230.00000 
               0.13253       975202.00000 
               0.13654       952903.00000 
               0.14056       927929.00000 
               0.14458       902077.00000 
               0.14859       874714.00000 
               0.15261       845949.00000 
               0.15663       815696.00000 
               0.16064       783945.00000 
               0.16466       750686.00000 
               0.16867       715932.00000 
               0.17269       679693.00000 
               0.17671       642066.00000 
               0.18072       602849.00000 
               0.18474       563149.00000 
               0.18875       518791.00000 
               0.19277       488192.00000 
               0.19679       492567.00000 
               0.20080       490787.00000 
               0.20482       490790.00000 
               0.20883       490317.00000 
               0.21285       490006.00000 
               0.21687       489679.00000 
               0.22088       489387.00000 
               0.22490       489115.00000 
               0.22891       488867.00000 
               0.23293       488642.00000 
               0.23695       488439.00000 
               0.24096       488257.00000 
               0.24498       488095.00000 
               0.24899       487953.00000 
               0.25301       487828.00000 
               0.25703       487720.00000 
               0.26104       487626.00000 
               0.26506       487553.00000 
               0.26908       487464.00000 
               0.27309       487494.00000 
               0.27711       487130.00000 
               0.28112       488289.00000 
               0.28514       483780.00000 
               0.28915       504909.00000 
               0.29317       557923.00000 
               0.29719       604581.00000 
               0.30120       653057.00000 
               0.30522       700844.00000 
               0.30923       749625.00000 
               0.31325       795079.00000 
               0.31727       852765.00000 
               0.32128       852765.00000 
               0.32530       795079.00000 
               0.32932       749625.00000 
               0.33333       700844.00000 
               0.33735       653057.00000 
               0.34136       604581.00000 
               0.34538       557923.00000 
               0.34940       504909.00000 
               0.35341       483781.00000 
               0.35743       488290.00000 
               0.36144       487130.00000 
               0.36546       487494.00000 
               0.36948       487465.00000 
               0.37349       487554.00000 
               0.37751       487626.00000 
               0.38152       487721.00000 
               0.38554       487828.00000 
               0.38956       487953.00000 
               0.39357       488096.00000 
               0.39759       488258.00000 
               0.40160       488440.00000 
               0.40562       488643.00000 
               0.40964       488868.00000 
               0.41365       489116.00000 
               0.41767       489388.00000 
               0.42168       489681.00000 
               0.42570       490007.00000 
               0.42972       490318.00000 
               0.43373       490792.00000 
               0.43775       490788.00000 
               0.44177       492569.00000 
               0.44578       488194.00000 
               0.44980       518793.00000 
               0.45381       563150.00000 
               0.45783       602851.00000 
               0.46185       642068.00000 
               0.46586       679695.00000 
               0.46988       715934.00000 
               0.47389       750688.00000 
               0.47791       783947.00000 
               0.48192       815698.00000 
               0.48594       845951.00000 
               0.48996       874716.00000 
               0.49397       902079.00000 
               0.49799       927930.00000 
               0.50201       952904.00000 
               0.50602       975203.00000 
               0.51004       1001240.00000 
               0.51405       995123.00000 
               0.51807       980956.00000 
               0.52209       969038.00000 
               0.52610       957051.00000 
               0.53012       945548.00000 
               0.53413       934420.00000 
               0.53815       923707.00000 
               0.54217       913415.00000 
               0.54618       903557.00000 
               0.55020       894143.00000 
               0.55421       885182.00000 
               0.55823       876683.00000 
               0.56225       868655.00000 
               0.56626       861107.00000 
               0.57028       854045.00000 
               0.57429       847477.00000 
               0.57831       841409.00000 
               0.58233       835847.00000 
               0.58634       830795.00000 
               0.59036       826266.00000 
               0.59437       822233.00000 
               0.59839       818817.00000 
               0.60241       815599.00000 
               0.60642       814106.00000 
               0.61044       785813.00000 
               0.61445       756700.00000 
               0.61847       728459.00000 
               0.62249       700502.00000 
               0.62650       672852.00000 
               0.63052       645390.00000 
               0.63453       618052.00000 
               0.63855       590780.00000 
