//              Time(s)       Moment[Z](Revolution:2)(N.mm) 
               0.00000      -369782.00000 
               0.00402      -359003.00000 
               0.00804      -348226.00000 
               0.01206      -337456.00000 
               0.01608      -326689.00000 
               0.02010      -315934.00000 
               0.02412      -305192.00000 
               0.02814      -294457.00000 
               0.03216      -283762.00000 
               0.03618      -273056.00000 
               0.04020      -262417.00000 
               0.04422      -251761.00000 
               0.04824      -241203.00000 
               0.05226      -230670.00000 
               0.05628      -220130.00000 
               0.06030      -209589.00000 
               0.06432      -199103.00000 
               0.06834      -189203.00000 
               0.07236      -179220.00000 
               0.07638      -178919.00000 
               0.08040      -179822.00000 
               0.08442      -180571.00000 
               0.08844      -181209.00000 
               0.09246      -181924.00000 
               0.09648      -182811.00000 
               0.10050      -183675.00000 
               0.10452      -184671.00000 
               0.10854      -185626.00000 
               0.11256      -186729.00000 
               0.11658      -187830.00000 
               0.12060      -189011.00000 
               0.12462      -190245.00000 
               0.12864      -191504.00000 
               0.13266      -192873.00000 
               0.13668      -194210.00000 
               0.14070      -195710.00000 
               0.14472      -197172.00000 
               0.14874      -198755.00000 
               0.15276      -200348.00000 
               0.15678      -202005.00000 
               0.16080      -203726.00000 
               0.16482      -205457.00000 
               0.16884      -207303.00000 
               0.17286      -209112.00000 
               0.17688      -211077.00000 
               0.18090      -213010.00000 
               0.18492      -215044.00000 
               0.18894      -217098.00000 
               0.19296      -219201.00000 
               0.19698      -221373.00000 
               0.20100      -223543.00000 
               0.20502      -225830.00000 
               0.20904      -228082.00000 
               0.21306      -230467.00000 
               0.21708      -232832.00000 
               0.22110      -235280.00000 
               0.22512      -237753.00000 
               0.22914      -240262.00000 
               0.23316      -242844.00000 
               0.23718      -245412.00000 
               0.24120      -248095.00000 
               0.24522      -250742.00000 
               0.24924      -253511.00000 
               0.25326      -256268.00000 
               0.25728      -259070.00000 
               0.26130      -261887.00000 
               0.26532      -264772.00000 
               0.26934      -267828.00000 
               0.27336      -270822.00000 
               0.27738      -273426.00000 
               0.28140      -275977.00000 
               0.28542      -280369.00000 
               0.28944      -285216.00000 
               0.29346      -295020.00000 
               0.29748      -309199.00000 
               0.30150      -323139.00000 
               0.30552      -335866.00000 
               0.30954      -348935.00000 
               0.31356      -361680.00000 
               0.31758      -374805.00000 
               0.32160      -387425.00000 
               0.32562      -400142.00000 
               0.32964      -412710.00000 
               0.33366      -425111.00000 
               0.33768      -437645.00000 
               0.34170      -449682.00000 
               0.34572      -462115.00000 
               0.34974      -473830.00000 
               0.35376      -485895.00000 
               0.35778      -497542.00000 
               0.36180      -509228.00000 
               0.36582      -520802.00000 
               0.36984      -532106.00000 
               0.37386      -543598.00000 
               0.37788      -554520.00000 
               0.38190      -565812.00000 
               0.38592      -576467.00000 
               0.38994      -587375.00000 
               0.39396      -597937.00000 
               0.39798      -608452.00000 
               0.40200      -618933.00000 
               0.40602      -629134.00000 
               0.41004      -639521.00000 
               0.41406      -649174.00000 
               0.41808      -659116.00000 
               0.42210      -669224.00000 
               0.42612      -679605.00000 
               0.43014      -687920.00000 
               0.43416      -694741.00000 
               0.43818      -699127.00000 
               0.44220      -698002.00000 
               0.44622      -696807.00000 
               0.45024      -696978.00000 
               0.45426      -697037.00000 
               0.45828      -696891.00000 
               0.46230      -696600.00000 
               0.46632      -696371.00000 
               0.47034      -696190.00000 
               0.47436      -695952.00000 
               0.47838      -695756.00000 
               0.48240      -695450.00000 
               0.48642      -695275.00000 
               0.49044      -694991.00000 
               0.49446      -694769.00000 
               0.49848      -694501.00000 
               0.50250      -694235.00000 
               0.50652      -693986.00000 
               0.51054      -693681.00000 
               0.51456      -693451.00000 
               0.51858      -693121.00000 
               0.52260      -692900.00000 
               0.52662      -692593.00000 
               0.53064      -692337.00000 
               0.53466      -692054.00000 
               0.53868      -691766.00000 
               0.54270      -691510.00000 
               0.54672      -691192.00000 
               0.55074      -690964.00000 
               0.55476      -690643.00000 
               0.55878      -690420.00000 
               0.56280      -690130.00000 
               0.56682      -689882.00000 
               0.57084      -689624.00000 
               0.57486      -689353.00000 
               0.57888      -689129.00000 
               0.58290      -688836.00000 
               0.58692      -688649.00000 
               0.59094      -688373.00000 
               0.59496      -688186.00000 
               0.59898      -687946.00000 
               0.60300      -687744.00000 
               0.60702      -687550.00000 
               0.61104      -687327.00000 
               0.61506      -687154.00000 
               0.61908      -686906.00000 
               0.62310      -686849.00000 
               0.62712      -686708.00000 
               0.63114      -686430.00000 
               0.63516      -686050.00000 
               0.63918      -686229.00000 
               0.64320      -686948.00000 
               0.64722      -686476.00000 
               0.65124      -682490.00000 
               0.65526      -678400.00000 
               0.65928      -668693.00000 
               0.66330      -658768.00000 
               0.66732      -649778.00000 
               0.67134      -641112.00000 
               0.67536      -632303.00000 
               0.67938      -623344.00000 
               0.68340      -614378.00000 
               0.68742      -605567.00000 
               0.69144      -596720.00000 
               0.69546      -587737.00000 
               0.69948      -578722.00000 
               0.70350      -570118.00000 
               0.70752      -561722.00000 
               0.71154      -552425.00000 
               0.71556      -541763.00000 
               0.71958      -532507.00000 
               0.72360      -532509.00000 
               0.72762      -532511.00000 
               0.73164      -541769.00000 
               0.73566      -552435.00000 
               0.73968      -561735.00000 
               0.74370      -570134.00000 
               0.74772      -578742.00000 
               0.75174      -587760.00000 
               0.75576      -596746.00000 
               0.75978      -605596.00000 
               0.76380      -614410.00000 
               0.76782      -623379.00000 
               0.77184      -632341.00000 
               0.77586      -641154.00000 
               0.77988      -649822.00000 
               0.78390      -658816.00000 
               0.78792      -668743.00000 
               0.79194      -678453.00000 
               0.79596      -682545.00000 
               0.79998      -686534.00000 
               0.80400      -687009.00000 
               0.80802      -686292.00000 
               0.81204      -686115.00000 
               0.81606      -686497.00000 
               0.82008      -686776.00000 
               0.82410      -686919.00000 
               0.82812      -686977.00000 
               0.83214      -687226.00000 
               0.83616      -687400.00000 
               0.84018      -687623.00000 
               0.84420      -687817.00000 
               0.84822      -688019.00000 
               0.85224      -688258.00000 
               0.85626      -688445.00000 
               0.86028      -688720.00000 
               0.86430      -688906.00000 
               0.86832      -689197.00000 
               0.87234      -689419.00000 
               0.87636      -689688.00000 
               0.88038      -689944.00000 
               0.88440      -690190.00000 
               0.88842      -690478.00000 
               0.89244      -690698.00000 
               0.89646      -691017.00000 
               0.90048      -691243.00000 
               0.90450      -691558.00000 
               0.90852      -691812.00000 
               0.91254      -692097.00000 
               0.91656      -692377.00000 
               0.92058      -692630.00000 
               0.92460      -692935.00000 
               0.92862      -693153.00000 
               0.93264      -693481.00000 
               0.93666      -693709.00000 
               0.94068      -694012.00000 
               0.94470      -694259.00000 
               0.94872      -694523.00000 
               0.95274      -694790.00000 
               0.95676      -695010.00000 
               0.96078      -695292.00000 
               0.96480      -695466.00000 
               0.96882      -695771.00000 
               0.97284      -695965.00000 
               0.97686      -696202.00000 
               0.98088      -696383.00000 
               0.98490      -696610.00000 
               0.98892      -696900.00000 
               0.99294      -697046.00000 
               0.99696      -696986.00000 
               1.00098      -696814.00000 
               1.00500      -698009.00000 
               1.00902      -699133.00000 
               1.01304      -694746.00000 
               1.01706      -687925.00000 
               1.02108      -679611.00000 
               1.02510      -669229.00000 
               1.02912      -659121.00000 
               1.03314      -649179.00000 
