//              Time(s)       Moment[Z](Revolution:2)(N.mm) 
               0.00000       869165.00000 
               0.01532       915607.00000 
               0.03064       961912.00000 
               0.04596       1007940.00000 
               0.06128       1053530.00000 
               0.07660       1098560.00000 
               0.09192       1142700.00000 
               0.10724       1186450.00000 
               0.12257       1227090.00000 
               0.13789       1220420.00000 
               0.15321       1214300.00000 
               0.16853       1206580.00000 
               0.18385       1197850.00000 
               0.19917       1187980.00000 
               0.21449       1177030.00000 
               0.22981       1165000.00000 
               0.24513       1151910.00000 
               0.26045       1137780.00000 
               0.27577       1122630.00000 
               0.29109       1106470.00000 
               0.30642       1089340.00000 
               0.32174       1071230.00000 
               0.33706       1052180.00000 
               0.35238       1032190.00000 
               0.36770       1011270.00000 
               0.38302       989445.00000 
               0.39834       966713.00000 
               0.41366       943099.00000 
               0.42898       918551.00000 
               0.44430       893289.00000 
               0.45962       866506.00000 
               0.47494       841213.00000 
               0.49027       805831.00000 
               0.50559       728697.00000 
               0.52091       655852.00000 
               0.53623       581173.00000 
               0.55155       506383.00000 
               0.56687       431099.00000 
               0.58219       355499.00000 
               0.59751       279611.00000 
               0.61283       203507.00000 
               0.62815       127246.00000 
               0.64347       50905.50000  
               0.65879      -25461.80000  
               0.67412      -101684.00000 
               0.68944      -178003.00000 
               0.70476      -253066.00000 
               0.72008      -331453.00000 
               0.73540      -394242.00000 
               0.75072      -418623.00000 
               0.76604      -448172.00000 
               0.78136      -475281.00000 
               0.79668      -501965.00000 
               0.81200      -527652.00000 
               0.82732      -552464.00000 
               0.84264      -576336.00000 
               0.85796      -599257.00000 
               0.87328      -621200.00000 
               0.88861      -642143.00000 
               0.90393      -662062.00000 
               0.91925      -680938.00000 
               0.93457      -698750.00000 
               0.94989      -715476.00000 
               0.96521      -731099.00000 
               0.98053      -745599.00000 
               0.99585      -758962.00000 
               1.01117      -771161.00000 
               1.02649      -782217.00000 
               1.04181      -791981.00000 
               1.05713      -800950.00000 
               1.07245      -807202.00000 
               1.08778      -817872.00000 
               1.10310      -801918.00000 
               1.11842      -753206.00000 
               1.13374      -709805.00000 
               1.14906      -663762.00000 
               1.16438      -617698.00000 
               1.17970      -570093.00000 
               1.19502      -525384.00000 
               1.21034      -468312.00000 
               1.22566      -468311.00000 
               1.24098      -525381.00000 
               1.25630      -570088.00000 
               1.27163      -617691.00000 
               1.28695      -663755.00000 
               1.30227      -709798.00000 
               1.31759      -753199.00000 
               1.33291      -801911.00000 
               1.34823      -817865.00000 
               1.36355      -807195.00000 
               1.37887      -800943.00000 
               1.39419      -791972.00000 
               1.40951      -782206.00000 
               1.42483      -771147.00000 
               1.44015      -758944.00000 
               1.45547      -745577.00000 
               1.47080      -731072.00000 
               1.48612      -715444.00000 
               1.50144      -698712.00000 
               1.51676      -680897.00000 
               1.53208      -662018.00000 
               1.54740      -642097.00000 
               1.56272      -621155.00000 
               1.57804      -599215.00000 
               1.59336      -576300.00000 
               1.60868      -552435.00000 
               1.62400      -527633.00000 
               1.63932      -501957.00000 
               1.65464      -475284.00000 
               1.66997      -448187.00000 
               1.68529      -418650.00000 
               1.70061      -394278.00000 
               1.71593      -331497.00000 
               1.73125      -253115.00000 
               1.74657      -178055.00000 
               1.76189      -101737.00000 
               1.77721      -25513.50000  
               1.79253       50856.70000  
               1.80785       127201.00000 
               1.82317       203467.00000 
               1.83849       279576.00000 
               1.85381       355469.00000 
               1.86914       431073.00000 
               1.88446       506361.00000 
               1.89978       581154.00000 
               1.91510       655836.00000 
               1.93042       728684.00000 
               1.94574       805820.00000 
               1.96106       841204.00000 
               1.97638       866500.00000 
               1.99170       893286.00000 
               2.00702       918554.00000 
               2.02234       943110.00000 
               2.03766       966733.00000 
               2.05299       989476.00000 
               2.06831       1011320.00000 
               2.08363       1032250.00000 
               2.09895       1052250.00000 
               2.11427       1071320.00000 
               2.12959       1089430.00000 
               2.14491       1106570.00000 
               2.16023       1122730.00000 
               2.17555       1137870.00000 
               2.19087       1151990.00000 
               2.20619       1165060.00000 
               2.22151       1177080.00000 
               2.23683       1188020.00000 
               2.25216       1197870.00000 
               2.26748       1206590.00000 
               2.28280       1214290.00000 
               2.29812       1220410.00000 
               2.31344       1227070.00000 
               2.32876       1186430.00000 
               2.34408       1142680.00000 
               2.35940       1098540.00000 
               2.37472       1053510.00000 
               2.39004       1007920.00000 
               2.40536       961894.00000 
               2.42068       915591.00000 
               2.43600       869151.00000 
