//              Time(s)       Moment[Z](Revolution:3)(N.mm) 
               0.00000       671419.00000 
               0.00635       685217.00000 
               0.01270       699038.00000 
               0.01905       712899.00000 
               0.02540       726814.00000 
               0.03175       740817.00000 
               0.03810       754868.00000 
               0.04445       769225.00000 
               0.05080       783016.00000 
               0.05715       783160.00000 
               0.06350       784020.00000 
               0.06985       784845.00000 
               0.07620       785836.00000 
               0.08255       786933.00000 
               0.08890       788147.00000 
               0.09525       789469.00000 
               0.10160       790895.00000 
               0.10795       792418.00000 
               0.11430       794031.00000 
               0.12065       795729.00000 
               0.12700       797502.00000 
               0.13335       799345.00000 
               0.13970       801248.00000 
               0.14605       803202.00000 
               0.15240       805198.00000 
               0.15875       807226.00000 
               0.16510       809275.00000 
               0.17145       811337.00000 
               0.17780       813388.00000 
               0.18415       815471.00000 
               0.19050       817336.00000 
               0.19685       819967.00000 
               0.20320       819070.00000 
               0.20955       804700.00000 
               0.21590       792145.00000 
               0.22225       778831.00000 
               0.22860       765502.00000 
               0.23495       751936.00000 
               0.24130       738196.00000 
               0.24765       724267.00000 
               0.25400       710161.00000 
               0.26035       695884.00000 
               0.26670       681452.00000 
               0.27305       666871.00000 
               0.27940       652181.00000 
               0.28575       637303.00000 
               0.29210       622639.00000 
               0.29845       606692.00000 
               0.30480       595840.00000 
               0.31115       597277.00000 
               0.31750       596560.00000 
               0.32385       596382.00000 
               0.33020       596002.00000 
               0.33655       595632.00000 
               0.34290       595221.00000 
               0.34925       594791.00000 
               0.35560       594343.00000 
               0.36195       593882.00000 
               0.36829       593415.00000 
               0.37465       592946.00000 
               0.38099       592479.00000 
               0.38734       592020.00000 
               0.39370       591572.00000 
               0.40004       591139.00000 
               0.40640       590725.00000 
               0.41274       590333.00000 
               0.41909       589969.00000 
               0.42545       589624.00000 
               0.43179       589344.00000 
               0.43815       588972.00000 
               0.44449       589100.00000 
               0.45084       587533.00000 
               0.45719       593781.00000 
               0.46354       609723.00000 
               0.46989       623743.00000 
               0.47624       638325.00000 
               0.48259       652719.00000 
               0.48894       667436.00000 
               0.49529       681167.00000 
               0.50164       698613.00000 
               0.50799       698613.00000 
               0.51434       681167.00000 
               0.52069       667436.00000 
               0.52704       652720.00000 
               0.53339       638326.00000 
               0.53974       623744.00000 
               0.54609       609723.00000 
               0.55244       593781.00000 
               0.55879       587534.00000 
               0.56514       589100.00000 
               0.57149       588972.00000 
               0.57784       589344.00000 
               0.58419       589624.00000 
               0.59054       589969.00000 
               0.59689       590333.00000 
               0.60324       590725.00000 
               0.60959       591138.00000 
               0.61594       591571.00000 
               0.62229       592018.00000 
               0.62864       592477.00000 
               0.63499       592943.00000 
               0.64134       593412.00000 
               0.64769       593879.00000 
               0.65404       594339.00000 
               0.66039       594787.00000 
               0.66674       595217.00000 
               0.67309       595628.00000 
               0.67944       595997.00000 
               0.68579       596377.00000 
               0.69214       596555.00000 
               0.69849       597271.00000 
               0.70484       595835.00000 
               0.71119       606687.00000 
               0.71754       622634.00000 
               0.72389       637298.00000 
               0.73024       652176.00000 
               0.73659       666866.00000 
               0.74294       681447.00000 
               0.74929       695880.00000 
               0.75564       710157.00000 
               0.76199       724263.00000 
               0.76834       738193.00000 
               0.77469       751933.00000 
               0.78104       765499.00000 
               0.78739       778829.00000 
               0.79374       792143.00000 
               0.80009       804700.00000 
               0.80644       819069.00000 
               0.81279       819967.00000 
               0.81914       817337.00000 
               0.82549       815473.00000 
               0.83184       813391.00000 
               0.83819       811341.00000 
               0.84454       809280.00000 
               0.85089       807231.00000 
               0.85724       805204.00000 
               0.86359       803209.00000 
               0.86994       801256.00000 
               0.87629       799354.00000 
               0.88264       797512.00000 
               0.88899       795739.00000 
               0.89534       794042.00000 
               0.90169       792429.00000 
               0.90804       790906.00000 
               0.91439       789481.00000 
               0.92074       788159.00000 
               0.92709       786944.00000 
               0.93344       785847.00000 
               0.93979       784855.00000 
               0.94614       784030.00000 
               0.95249       783170.00000 
               0.95884       783024.00000 
               0.96519       769233.00000 
               0.97154       754876.00000 
               0.97789       740824.00000 
               0.98424       726820.00000 
               0.99059       712905.00000 
               0.99694       699043.00000 
               1.00329       685221.00000 
               1.00964       671423.00000 
