//              Time(s)       Moment[Z](Revolution:3)(N.mm) 
               0.00000       703826.00000 
               0.00910       684578.00000 
               0.01820       665332.00000 
               0.02731       646075.00000 
               0.03641       626787.00000 
               0.04551       607408.00000 
               0.05461       587961.00000 
               0.06371       568091.00000 
               0.07282       548790.00000 
               0.08192       548593.00000 
               0.09102       547514.00000 
               0.10012       546465.00000 
               0.10922       545203.00000 
               0.11832       543798.00000 
               0.12743       542235.00000 
               0.13653       540522.00000 
               0.14563       538661.00000 
               0.15473       536658.00000 
               0.16383       534517.00000 
               0.17294       532243.00000 
               0.18204       529841.00000 
               0.19114       527318.00000 
               0.20024       524679.00000 
               0.20934       521930.00000 
               0.21845       519080.00000 
               0.22755       516134.00000 
               0.23665       513103.00000 
               0.24575       509985.00000 
               0.25485       506822.00000 
               0.26395       503500.00000 
               0.27306       500487.00000 
               0.28216       496051.00000 
               0.29126       497030.00000 
               0.30036       523218.00000 
               0.30946       547836.00000 
               0.31857       574647.00000 
               0.32767       602682.00000 
               0.33677       632240.00000 
               0.34587       663253.00000 
               0.35497       695739.00000 
               0.36408       729670.00000 
               0.37318       765016.00000 
               0.38228       801727.00000 
               0.39138       839762.00000 
               0.40048       878985.00000 
               0.40959       919563.00000 
               0.41869       960470.00000 
               0.42779       1005130.00000 
               0.43689       1039210.00000 
               0.44599       1044620.00000 
               0.45510       1054210.00000 
               0.46420       1062240.00000 
               0.47330       1070250.00000 
               0.48240       1077830.00000 
               0.49150       1085100.00000 
               0.50060       1092030.00000 
               0.50971       1098620.00000 
               0.51881       1104870.00000 
               0.52791       1110790.00000 
               0.53701       1116380.00000 
               0.54611       1121630.00000 
               0.55522       1126550.00000 
               0.56432       1131140.00000 
               0.57342       1135400.00000 
               0.58252       1139330.00000 
               0.59162       1142940.00000 
               0.60073       1146210.00000 
               0.60983       1149170.00000 
               0.61893       1151720.00000 
               0.62803       1154280.00000 
               0.63713       1155260.00000 
               0.64624       1160600.00000 
               0.65534       1144530.00000 
               0.66444       1101850.00000 
               0.67354       1064120.00000 
               0.68264       1024670.00000 
               0.69175       985614.00000 
               0.70085       945603.00000 
               0.70995       908244.00000 
               0.71905       860758.00000 
               0.72815       860770.00000 
               0.73725       908280.00000 
               0.74636       945664.00000 
               0.75546       985695.00000 
               0.76456       1024770.00000 
               0.77366       1064240.00000 
               0.78276       1101980.00000 
               0.79187       1144660.00000 
               0.80097       1160740.00000 
               0.81007       1155400.00000 
               0.81917       1154410.00000 
               0.82827       1151850.00000 
               0.83737       1149290.00000 
               0.84648       1146310.00000 
               0.85558       1143030.00000 
               0.86468       1139410.00000 
               0.87378       1135460.00000 
               0.88289       1131190.00000 
               0.89199       1126590.00000 
               0.90109       1121660.00000 
               0.91019       1116390.00000 
               0.91929       1110800.00000 
               0.92839       1104870.00000 
               0.93750       1098620.00000 
               0.94660       1092020.00000 
               0.95570       1085090.00000 
               0.96480       1077820.00000 
               0.97390       1070240.00000 
               0.98301       1062230.00000 
               0.99211       1054200.00000 
               1.00121       1044610.00000 
               1.01031       1039200.00000 
               1.01941       1005120.00000 
               1.02851       960461.00000 
               1.03762       919554.00000 
               1.04672       878977.00000 
               1.05582       839755.00000 
               1.06492       801721.00000 
               1.07402       765011.00000 
               1.08313       729665.00000 
               1.09223       695734.00000 
               1.10133       663249.00000 
               1.11043       632236.00000 
               1.11953       602678.00000 
               1.12864       574643.00000 
               1.13774       547831.00000 
               1.14684       523214.00000 
               1.15594       497026.00000 
               1.16504       496047.00000 
               1.17415       500483.00000 
               1.18325       503495.00000 
               1.19235       506818.00000 
               1.20145       509981.00000 
               1.21055       513099.00000 
               1.21965       516132.00000 
               1.22876       519078.00000 
               1.23786       521930.00000 
               1.24696       524679.00000 
               1.25606       527319.00000 
               1.26516       529844.00000 
               1.27427       532247.00000 
               1.28337       534522.00000 
               1.29247       536664.00000 
               1.30157       538668.00000 
               1.31067       540529.00000 
               1.31978       542243.00000 
               1.32888       543807.00000 
               1.33798       545212.00000 
               1.34708       546473.00000 
               1.35618       547521.00000 
               1.36529       548600.00000 
               1.37439       548796.00000 
               1.38349       568096.00000 
               1.39259       587965.00000 
               1.40169       607412.00000 
               1.41079       626790.00000 
               1.41990       646077.00000 
               1.42900       665334.00000 
               1.43810       684579.00000 
               1.44720       703827.00000 
