Time(s) Force[Z](Cylindrical:11)-ArfadaCaso1.iaa(N) Force[Y](Cylindrical:11)-ArfadaCaso1.iaa(N) Force[X](Cylindrical:11)-ArfadaCaso1.iaa(N) Force(Cylindrical:11)-ArfadaCaso1.iaa(N) Moment[Z](Cylindrical:11)-ArfadaCaso1.iaa(N.mm) Moment[Y](Cylindrical:11)-ArfadaCaso1.iaa(N.mm) Moment[X](Cylindrical:11)-ArfadaCaso1.iaa(N.mm) Moment(Cylindrical:11)-ArfadaCaso1.iaa(N.mm) 
0.00000 3202.70000 370.60600 0.18035 3224.07000 6320.86000 -28.29880 -14453.70000 15775.40000 
0.00635 3282.74000 379.98587 0.18443 3304.66000 6479.84000 -29.02800 -14820.10000 16174.80000 
0.01270 3362.73000 389.37800 0.18851 3385.19000 6638.92000 -29.75620 -15190.90000 16578.30000 
0.01905 3442.66000 398.79200 0.19263 3465.68000 6798.27000 -30.48010 -15570.70000 16990.20000 
0.02540 3522.52000 408.23111 0.19687 3546.10000 6957.96000 -31.19560 -15964.30000 17414.80000 
0.03175 3602.41000 417.71500 0.20130 3626.54000 7118.33000 -31.89970 -16377.50000 17857.60000 
0.03810 3682.06000 427.20800 0.20600 3706.76000 7278.91000 -32.58290 -16814.20000 18322.10000 
0.04445 3762.46000 436.88100 0.21094 3787.74000 7442.19000 -33.25890 -17286.90000 18820.80000 
0.05080 3840.17000 446.12400 0.21682 3866.00000 7599.66000 -33.84820 -17777.70000 19334.00000 
0.05715 3838.56000 446.05800 0.21925 3864.39000 7599.89000 -33.67770 -17934.70000 19478.50000 
0.06350 3839.39000 446.44519 0.22176 3865.26000 7606.90000 -33.52270 -18145.40000 19675.40000 
0.06985 3839.67000 446.77000 0.22481 3865.58000 7613.28000 -33.32280 -18389.20000 19902.90000 
0.07620 3840.16000 447.17000 0.22823 3866.11000 7620.97000 -33.09450 -18671.90000 20167.30000 
0.08255 3840.66000 447.60257 0.23202 3866.66000 7629.35000 -32.83220 -18991.80000 20467.00000 
0.08890 3841.23000 448.07500 0.23615 3867.28000 7638.51000 -32.53650 -19349.50000 20802.70000 
