Time(s) Force[Z](Cylindrical:11)-BalanceoCaso3.iaa(N) Force[Y](Cylindrical:11)-BalanceoCaso3.iaa(N) Force[X](Cylindrical:11)-BalanceoCaso3.iaa(N) Force(Cylindrical:11)-BalanceoCaso3.iaa(N) Moment[Z](Cylindrical:11)-BalanceoCaso3.iaa(N.mm) Moment[Y](Cylindrical:11)-BalanceoCaso3.iaa(N.mm) Moment[X](Cylindrical:11)-BalanceoCaso3.iaa(N.mm) Moment(Cylindrical:11)-BalanceoCaso3.iaa(N.mm) 
0.00000 -3210.44000 1721.67000 -78.01080 3643.79000 270467.00000 70900.80000 -239246.00000 367992.00000 
0.00910 -3307.63000 1759.93000 -140.09900 3749.32000 338448.00000 82816.60000 -244547.00000 425686.00000 
0.01820 -3404.58000 1798.15000 -202.17600 3855.56000 406373.00000 94716.50000 -249843.00000 486345.00000 
0.02731 -3500.97000 1836.25000 -264.23700 3962.13000 474188.00000 106584.00000 -255124.00000 548910.00000 
0.03641 -3596.34000 1874.14000 -326.26200 4068.47000 541813.00000 118396.00000 -260373.00000 612677.00000 
0.04551 -3690.21000 1911.69000 -388.31800 4174.09000 609255.00000 130143.00000 -265576.00000 677244.00000 
0.05461 -3781.55000 1948.58000 -450.16507 4277.82000 676176.00000 141756.00000 -270687.00000 742011.00000 
0.06371 -3871.00000 1985.15000 -512.72900 4380.45000 743510.00000 153385.00000 -275754.00000 807697.00000 
0.07282 -3952.39000 2019.07000 -572.58800 4475.03000 807428.00000 164346.00000 -280454.00000 870405.00000 
0.08192 -3934.97000 2014.58000 -570.61100 4457.37000 803270.00000 163325.00000 -279831.00000 866154.00000 
0.09102 -3917.91000 2010.72000 -570.88100 4440.60000 801140.00000 162595.00000 -279295.00000 863868.00000 
0.10012 -3896.81000 2005.75000 -570.49000 4419.69000 797866.00000 161605.00000 -278605.00000 860422.00000 
0.10922 -3872.91000 2000.13000 -570.21500 4396.03000 794303.00000 160503.00000 -277824.00000 856660.00000 
0.11832 -3845.96000 1993.74000 -569.84100 4369.34000 790230.00000 159255.00000 -276937.00000 852361.00000 
0.12743 -3816.12000 1986.61000 -569.42000 4339.77000 785711.00000 157872.00000 -275947.00000 847592.00000 
0.13653 -3783.44000 1978.73000 -568.93200 4307.38000 780736.00000 156356.00000 -274854.00000 842343.00000 
0.14563 -3748.03000 1970.12000 -568.37400 4272.25000 775318.00000 154711.00000 -273658.00000 836625.00000 
0.15473 -3709.96000 1960.78000 -567.73900 4234.48000 769460.00000 152940.00000 -272361.00000 830445.00000 
0.16383 -3669.35000 1950.70000 -567.02063 4194.14000 763171.00000 151047.00000 -270962.00000 823812.00000 
0.17294 -3626.29000 1939.90000 -566.21100 4151.35000 756460.00000 149036.00000 -269462.00000 816733.00000 
0.18204 -3580.89000 1928.37000 -565.30200 4106.21000 749333.00000 146913.00000 -267862.00000 809217.00000 
0.19114 -3533.27000 1916.14000 -564.28400 4058.82000 741799.00000 144682.00000 -266163.00000 801274.00000 
0.20024 -3483.56000 1903.19000 -563.15000 4009.30000 733867.00000 142346.00000 -264365.00000 792914.00000 
0.20934 -3431.86000 1889.55000 -561.88900 3957.75000 725546.00000 139913.00000 -262471.00000 784146.00000 
0.21845 -3378.32000 1875.22000 -560.49000 3904.31000 716846.00000 137386.00000 -260481.00000 774979.00000 
0.22755 -3323.05000 1860.21000 -558.94600 3849.08000 707776.00000 134770.00000 -258397.00000 765427.00000 
0.23665 -3266.18000 1844.53000 -557.23800 3792.20000 698341.00000 132072.00000 -256220.00000 755494.00000 
0.24575 -3207.88000 1828.20000 -555.37700 3733.80000 688573.00000 129298.00000 -253953.00000 745213.00000 
0.25485 -3148.19000 1811.21000 -553.26900 3673.92000 678395.00000 126442.00000 -251594.00000 734511.00000 
0.26395 -3087.51000 1793.68000 -551.20900 3613.01000 668141.00000 123562.00000 -249160.00000 723713.00000 
0.27306 -3025.12000 1775.27000 -548.03400 3550.11000 656610.00000 120460.00000 -246603.00000 711660.00000 
0.28216 -2964.09000 1757.20000 -548.03100 3489.12000 648336.00000 117901.00000 -244095.00000 702725.00000 
0.29126 -2894.24000 1735.26000 -534.60100 3416.66000 625900.00000 112978.00000 -241049.00000 680161.00000 
0.30036 -2796.20000 1700.98000 -462.10700 3305.39000 541590.00000 97767.80000 -236306.00000 598931.00000 
0.30946 -2713.07000 1672.00000 -396.23056 3211.43000 464525.00000 83828.10000 -232295.00000 526091.00000 
0.31857 -2640.52000 1646.52000 -328.12200 3129.07000 385408.00000 69605.10000 -228773.00000 453565.00000 
