Time(s) Force[Z](Cylindrical:11)-CabeceoCaso1.iaa(N) Force[Y](Cylindrical:11)-CabeceoCaso1.iaa(N) Force[X](Cylindrical:11)-CabeceoCaso1.iaa(N) Force(Cylindrical:11)-CabeceoCaso1.iaa(N) Moment[Z](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment[Y](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment[X](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment(Cylindrical:11)-CabeceoCaso1.iaa(N.mm) 
0.00000 -2799.44000 1501.27000 -1.81857 3176.59000 8099.43000 2349.36000 -58549.70000 59153.90000 
0.01532 -3198.27000 1531.15000 -2.39832 3545.89000 8309.25000 2389.35000 -59714.70000 60337.30000 
0.03064 -3595.90000 1560.83000 -2.97691 3920.04000 8517.76000 2428.45000 -60872.40000 61513.40000 
0.04596 -3991.18000 1590.14000 -3.55290 4296.29000 8723.16000 2465.58000 -62015.40000 62674.40000 
0.06128 -4382.83000 1618.86000 -4.12426 4672.25000 8922.86000 2499.38000 -63135.60000 63812.00000 
0.07660 -4770.11000 1646.83000 -4.68940 5046.39000 9113.94000 2528.37000 -64226.50000 64919.20000 
0.09192 -5150.33000 1673.73000 -5.24350 5415.47000 9291.85000 2550.65000 -65275.60000 65982.90000 
0.10724 -5528.27000 1699.79000 -5.79223 5783.69000 9455.32000 2564.90000 -66292.00000 67012.00000 
0.12257 -5880.79000 1723.16000 -6.30069 6128.04000 9588.34000 2567.05000 -67203.10000 67932.20000 
0.13789 -5827.46000 1715.12000 -6.22221 6074.62000 9498.66000 2521.96000 -66889.90000 67608.00000 
0.15321 -5779.67000 1706.61000 -6.15208 6026.37000 9399.22000 2469.39000 -66558.00000 67263.70000 
0.16853 -5718.78000 1696.22000 -6.06395 5965.03000 9281.36000 2408.17000 -66152.50000 66843.80000 
0.18385 -5649.83000 1684.31000 -5.96553 5895.55000 9148.42000 2339.31000 -65688.10000 66363.30000 
0.19917 -5571.52000 1670.78000 -5.85556 5816.64000 9000.74000 2263.35000 -65160.60000 65818.20000 
0.21449 -5484.23000 1655.66000 -5.73525 5728.70000 8839.56000 2181.03000 -64570.90000 65209.60000 
