Time(s) Force[Z](Spherical:9)-ArfadaCaso3.iaa(N) Force[Y](Spherical:9)-ArfadaCaso3.iaa(N) Force[X](Spherical:9)-ArfadaCaso3.iaa(N) Force(Spherical:9)-ArfadaCaso3.iaa(N) Moment[Z](Spherical:9)-ArfadaCaso3.iaa(N.mm) Moment[Y](Spherical:9)-ArfadaCaso3.iaa(N.mm) Moment[X](Spherical:9)-ArfadaCaso3.iaa(N.mm) Moment(Spherical:9)-ArfadaCaso3.iaa(N.mm) 
0.00000 -0.26580 4156.84000 0.00762 4156.84000 0.00003 0.00004 -0.00012 0.00013 
0.00635 -0.28240 4233.57000 0.00810 4233.57000 -0.00000 0.00000 0.00004 0.00004 
0.01270 -0.29900 4310.44000 0.00859 4310.44000 -0.00000 0.00000 0.00004 0.00004 
0.01905 -0.31560 4387.52000 0.00908 4387.52000 -0.00000 0.00000 0.00004 0.00004 
0.02540 -0.33218 4464.92000 0.00958 4464.92000 -0.00000 0.00000 0.00004 0.00004 
0.03175 -0.34872 4542.87000 0.01009 4542.87000 -0.00000 0.00000 0.00004 0.00004 
0.03810 -0.36512 4621.18000 0.01060 4621.18000 -0.00000 0.00000 0.00004 0.00004 
0.04445 -0.38156 4701.39000 0.01113 4701.39000 -0.00000 0.00000 0.00004 0.00004 
0.05080 -0.39705 4778.59000 0.01164 4778.59000 -0.00000 0.00000 0.00004 0.00004 
0.05715 -0.39593 4779.99000 0.01167 4779.99000 -0.00000 0.00000 0.00004 0.00004 
0.06350 -0.39529 4785.60000 0.01172 4785.60000 -0.00000 0.00000 0.00005 0.00005 
0.06985 -0.39436 4791.14000 0.01177 4791.14000 -0.00000 0.00000 0.00004 0.00004 
0.07620 -0.39334 4797.78000 0.01182 4797.78000 -0.00000 0.00000 0.00004 0.00004 
0.08255 -0.39219 4805.19000 0.01188 4805.19000 -0.00000 0.00000 0.00004 0.00004 
0.08890 -0.39093 4813.43000 0.01193 4813.43000 -0.00000 0.00000 0.00004 0.00004 
0.09525 -0.38956 4822.47000 0.01200 4822.47000 -0.00000 0.00000 0.00004 0.00004 
0.10160 -0.38809 4832.29000 0.01206 4832.29000 -0.00000 0.00000 0.00004 0.00004 
0.10795 -0.38651 4842.87000 0.01213 4842.87000 -0.00000 0.00000 0.00004 0.00004 
0.11430 -0.38484 4854.19000 0.01220 4854.19000 -0.00001 0.00000 0.00004 0.00005 
0.12065 -0.38309 4866.24000 0.01227 4866.24000 -0.00000 0.00000 0.00004 0.00004 
0.12700 -0.38126 4878.97000 0.01235 4878.97000 -0.00000 0.00000 0.00004 0.00004 
0.13335 -0.37936 4892.39000 0.01243 4892.39000 -0.00000 0.00000 0.00005 0.00005 
0.13970 -0.37739 4906.45000 0.01251 4906.45000 -0.00001 0.00000 0.00005 0.00005 
0.14605 -0.37535 4921.13000 0.01259 4921.13000 -0.00000 0.00000 0.00005 0.00005 
0.15240 -0.37326 4936.41000 0.01267 4936.41000 -0.00000 0.00000 0.00005 0.00005 
0.15875 -0.37112 4952.26000 0.01276 4952.26000 -0.00001 0.00000 0.00005 0.00005 
0.16510 -0.36893 4968.64000 0.01284 4968.64000 -0.00000 -0.00000 0.00005 0.00005 
0.17145 -0.36670 4985.55000 0.01293 4985.55000 -0.00000 -0.00000 0.00005 0.00005 
0.17780 -0.36441 5002.89000 0.01302 5002.89000 -0.00000 -0.00000 0.00005 0.00005 
0.18415 -0.36214 5020.94000 0.01311 5020.94000 -0.00000 -0.00000 0.00005 0.00005 
0.19050 -0.35964 5038.29000 0.01320 5038.29000 0.00000 -0.00000 0.00005 0.00005 
0.19685 -0.35784 5060.78000 0.01331 5060.78000 0.00000 -0.00000 0.00005 0.00005 
0.20320 -0.35317 5062.79000 0.01330 5062.79000 0.00000 -0.00000 0.00005 0.00005 
0.20955 -0.33645 4985.65000 0.01274 4985.65000 0.00000 -0.00000 0.00005 0.00005 
0.21590 -0.32208 4918.73000 0.01227 4918.73000 0.00000 -0.00000 0.00005 0.00005 
0.22225 -0.30813 4846.38000 0.01179 4846.38000 0.00000 -0.00000 0.00005 0.00005 
0.22860 -0.29511 4773.11000 0.01135 4773.11000 0.00000 -0.00000 0.00005 0.00005 
0.23495 -0.28288 4697.49000 0.01092 4697.49000 0.00000 -0.00000 0.00005 0.00005 
0.24130 -0.27145 4619.88000 0.01052 4619.88000 0.00000 -0.00000 0.00005 0.00005 
0.24765 -0.26079 4540.13000 0.01015 4540.13000 0.00000 -0.00000 0.00005 0.00005 
0.25400 -0.25085 4458.28000 0.00981 4458.28000 0.00000 -0.00000 0.00005 0.00005 
0.26035 -0.24162 4374.34000 0.00950 4374.34000 0.00000 -0.00000 0.00005 0.00005 
0.26670 -0.23303 4288.38000 0.00923 4288.38000 0.00000 -0.00000 0.00004 0.00004 
0.27305 -0.22506 4200.42000 0.00898 4200.42000 -0.00000 0.00000 0.00004 0.00004 
0.27940 -0.21766 4110.68000 0.00877 4110.68000 0.00000 -0.00000 0.00004 0.00004 
0.28575 -0.21071 4018.68000 0.00859 4018.68000 0.00000 -0.00000 0.00004 0.00004 
0.29210 -0.20446 3926.88000 0.00846 3926.88000 0.00000 -0.00000 0.00004 0.00004 
0.29845 -0.19773 3825.90000 0.00830 3825.90000 0.00000 -0.00000 0.00004 0.00004 
0.30480 -0.19492 3756.64000 0.00839 3756.64000 0.00000 -0.00000 0.00004 0.00004 
0.31115 -0.20089 3765.35000 0.00906 3765.35000 0.00000 -0.00000 0.00004 0.00004 
0.31750 -0.20511 3760.57000 0.00964 3760.57000 -0.00000 0.00000 0.00003 0.00003 
0.32385 -0.20941 3759.83000 0.01025 3759.83000 -0.00000 0.00000 0.00003 0.00003 
0.33020 -0.21333 3758.15000 0.01086 3758.15000 -0.00000 0.00000 0.00003 0.00003 
0.33655 -0.21699 3756.91000 0.01148 3756.91000 -0.00000 0.00000 0.00003 0.00003 
0.34290 -0.22040 3755.72000 0.01210 3755.72000 -0.00000 0.00000 0.00003 0.00003 
0.34925 -0.22356 3754.68000 0.01273 3754.68000 -0.00000 0.00000 0.00003 0.00003 
0.35560 -0.22648 3753.75000 0.01337 3753.75000 -0.00000 0.00000 0.00003 0.00003 
0.36195 -0.22917 3752.93000 0.01402 3752.93000 -0.00000 0.00000 0.00003 0.00003 
