Time(s) Force[Z](Spherical:10)-ArfadaCaso3.iaa(N) Force[Y](Spherical:10)-ArfadaCaso3.iaa(N) Force[X](Spherical:10)-ArfadaCaso3.iaa(N) Force(Spherical:10)-ArfadaCaso3.iaa(N) Moment[Z](Spherical:10)-ArfadaCaso3.iaa(N.mm) Moment[Y](Spherical:10)-ArfadaCaso3.iaa(N.mm) Moment[X](Spherical:10)-ArfadaCaso3.iaa(N.mm) Moment(Spherical:10)-ArfadaCaso3.iaa(N.mm) 
0.00000 -1828.44274 -408.91061 3708.92863 4155.31000 -0.00005 0.00016 0.00004 0.00017 
0.00635 -1862.20769 -416.45756 3777.37886 4232.00000 0.00000 -0.00000 0.00000 0.00000 
0.01270 -1896.10446 -424.01413 3845.90204 4308.82000 0.00000 -0.00000 0.00000 0.00000 
0.01905 -1930.25830 -431.58718 3914.54524 4385.87000 0.00000 -0.00000 0.00000 0.00000 
0.02540 -1964.79734 -439.18287 3983.34810 4463.22000 0.00000 -0.00000 0.00000 0.00000 
0.03175 -1999.91804 -446.82130 4052.47583 4541.13000 0.00000 -0.00000 0.00000 0.00000 
0.03810 -2035.63652 -454.48104 4121.71611 4619.41000 0.00000 -0.00000 0.00000 0.00000 
0.04445 -2072.72827 -462.30897 4192.38231 4699.57000 0.00000 -0.00000 0.00000 0.00000 
0.05080 -2109.13790 -469.81974 4260.05405 4776.74000 0.00000 -0.00000 0.00000 0.00000 
0.05715 -2112.77224 -469.85503 4259.81727 4778.14000 0.00000 -0.00000 0.00000 0.00000 
0.06350 -2118.91725 -470.28143 4263.00730 4783.74000 0.00000 -0.00000 -0.00000 0.00000 
0.06985 -2125.67794 -470.67927 4265.82138 4789.29000 0.00000 -0.00000 0.00000 0.00000 
0.07620 -2133.55854 -471.16282 4269.29789 4795.93000 0.00000 -0.00000 0.00000 0.00000 
0.08255 -2142.39662 -471.69870 4273.13751 4803.34000 0.00000 -0.00000 -0.00000 0.00000 
0.08890 -2152.21234 -472.29435 4277.41091 4811.58000 0.00000 -0.00000 -0.00000 0.00000 
0.09525 -2162.97201 -472.94565 4282.08470 4820.62000 0.00000 -0.00000 -0.00000 0.00000 
0.10160 -2174.65438 -473.65159 4287.15377 4830.44000 0.00000 -0.00000 -0.00000 0.00000 
0.10795 -2187.23203 -474.41013 4292.60439 4841.02000 0.00000 -0.00000 -0.00000 0.00000 
0.11430 -2200.67673 -475.21941 4298.42477 4852.35000 0.00000 -0.00000 0.00000 0.00001 
0.12065 -2214.95801 -476.07744 4304.60215 4864.39000 0.00000 -0.00000 -0.00000 0.00000 
0.12700 -2230.04362 -476.98217 4311.12385 4877.13000 0.00000 -0.00000 -0.00000 0.00000 
0.13335 -2245.89947 -477.93150 4317.97703 4890.54000 0.00000 -0.00000 -0.00000 0.00000 
0.13970 -2262.48975 -478.92327 4325.14889 4904.60000 0.00000 -0.00000 0.00000 0.00000 
0.14605 -2279.77693 -479.95533 4332.62671 4919.29000 0.00000 -0.00000 -0.00000 0.00000 
0.15240 -2297.72180 -481.02544 4340.39783 4934.57000 0.00000 -0.00000 -0.00000 0.00000 
0.15875 -2316.28381 -482.13144 4348.45032 4950.42000 0.00000 -0.00000 0.00000 0.00000 
0.16510 -2335.41921 -483.27078 4356.76936 4966.81000 0.00000 -0.00000 -0.00000 0.00000 
0.17145 -2355.09096 -484.44262 4365.35577 4983.72000 0.00000 -0.00000 -0.00000 0.00000 
0.17780 -2375.22118 -485.63802 4374.13786 5001.06000 0.00000 -0.00000 -0.00000 0.00000 
0.18415 -2395.90977 -486.88461 4383.37364 5019.10000 -0.00000 -0.00000 -0.00000 0.00000 
0.19050 -2416.45951 -488.04860 4391.86836 5036.46000 -0.00000 -0.00000 -0.00000 0.00000 
0.19685 -2439.62934 -489.69339 4404.70081 5058.95000 -0.00000 -0.00000 -0.00000 0.00000 
0.20320 -2453.01178 -489.34338 4399.61842 5060.96000 -0.00000 -0.00000 -0.00000 0.00000 
0.20955 -2427.83784 -481.34412 4325.84134 4983.87000 -0.00000 -0.00000 -0.00000 0.00000 
0.21590 -2407.17705 -474.34149 4261.13986 4916.99000 -0.00000 -0.00000 -0.00000 0.00000 
0.22225 -2383.33753 -466.82875 4191.98541 4844.68000 -0.00000 -0.00000 -0.00000 0.00000 
0.22860 -2358.44959 -459.24475 4122.33223 4771.46000 -0.00000 -0.00000 -0.00000 0.00000 
0.23495 -2331.74860 -451.45490 4050.98010 4695.88000 -0.00000 -0.00000 -0.00000 0.00000 
