Time(s) Force[Z](Spherical:9)-BalanceoCaso3.iaa(N) Force[Y](Spherical:9)-BalanceoCaso3.iaa(N) Force[X](Spherical:9)-BalanceoCaso3.iaa(N) Force(Spherical:9)-BalanceoCaso3.iaa(N) Moment[Z](Spherical:9)-BalanceoCaso3.iaa(N.mm) Moment[Y](Spherical:9)-BalanceoCaso3.iaa(N.mm) Moment[X](Spherical:9)-BalanceoCaso3.iaa(N.mm) Moment(Spherical:9)-BalanceoCaso3.iaa(N.mm) 
0.00000 -0.32672 4555.65000 0.00656 4555.65000 -0.00834 -0.00049 -0.01771 0.01958 
0.00910 -0.33117 4766.97000 0.00664 4766.97000 0.00000 -0.00000 0.00000 0.00000 
0.01820 -0.33561 4978.06000 0.00671 4978.06000 0.00000 0.00000 0.00000 0.00000 
0.02731 -0.34004 5188.69000 0.00680 5188.69000 0.00000 0.00000 0.00000 0.00000 
0.03641 -0.34444 5398.46000 0.00688 5398.46000 0.00000 0.00000 0.00000 0.00000 
0.04551 -0.34881 5607.17000 0.00697 5607.17000 0.00000 0.00000 0.00000 0.00000 
0.05461 -0.35311 5813.53000 0.00706 5813.53000 0.00000 0.00000 0.00000 0.00000 
0.06371 -0.35740 6020.12000 0.00716 6020.12000 0.00000 0.00000 0.00000 0.00000 
0.07282 -0.36139 6214.70000 0.00726 6214.70000 0.00000 0.00000 0.00000 0.00000 
0.08192 -0.36089 6197.20000 0.00729 6197.20000 0.00000 0.00000 0.00000 0.00000 
0.09102 -0.36047 6184.98000 0.00733 6184.98000 0.00000 0.00000 0.00000 0.00000 
0.10012 -0.35992 6168.24000 0.00737 6168.24000 0.00000 0.00000 0.00000 0.00000 
0.10922 -0.35931 6149.63000 0.00741 6149.63000 0.00000 0.00000 0.00000 0.00000 
0.11832 -0.35860 6128.48000 0.00746 6128.48000 0.00000 0.00000 0.00000 0.00000 
0.12743 -0.35781 6105.01000 0.00752 6105.01000 -0.00000 0.00000 -0.00000 0.00000 
0.13653 -0.35693 6079.23000 0.00758 6079.23000 0.00000 0.00000 0.00000 0.00000 
0.14563 -0.35596 6051.18000 0.00764 6051.18000 0.00000 0.00000 0.00000 0.00000 
0.15473 -0.35491 6020.90000 0.00771 6020.90000 -0.00000 0.00000 0.00000 0.00000 
