Time(s) Force[Z](Spherical:10)-BalanceoCaso3.iaa(N) Force[Y](Spherical:10)-BalanceoCaso3.iaa(N) Force[X](Spherical:10)-BalanceoCaso3.iaa(N) Force(Spherical:10)-BalanceoCaso3.iaa(N) Moment[Z](Spherical:10)-BalanceoCaso3.iaa(N.mm) Moment[Y](Spherical:10)-BalanceoCaso3.iaa(N.mm) Moment[X](Spherical:10)-BalanceoCaso3.iaa(N.mm) Moment(Spherical:10)-BalanceoCaso3.iaa(N.mm) 
0.00000 -2395.30255 -428.21464 3849.60561 4554.15000 0.00834 0.00049 0.01771 0.01958 
0.00910 -2506.43076 -448.06661 4028.21819 4765.45000 -0.00000 -0.00000 0.00000 0.00000 
0.01820 -2617.41390 -467.79858 4206.68200 4976.53000 -0.00000 -0.00000 0.00000 0.00000 
0.02731 -2728.08044 -487.27129 4384.81754 5187.15000 -0.00000 -0.00000 0.00000 0.00000 
0.03641 -2838.17744 -506.31552 4562.32893 5396.89000 0.00000 -0.00000 0.00000 0.00000 
0.04551 -2947.56108 -524.76631 4739.10945 5605.59000 0.00000 -0.00000 0.00000 0.00000 
0.05461 -3055.49108 -542.33800 4914.10682 5811.94000 0.00000 -0.00000 0.00000 0.00000 
0.06371 -3163.26391 -559.09239 5089.55782 6018.51000 0.00000 -0.00000 0.00000 0.00000 
0.07282 -3264.38779 -573.70381 5255.17910 6213.07000 0.00000 -0.00000 0.00000 0.00000 
0.08192 -3253.74276 -567.67989 5241.76252 6195.58000 0.00000 -0.00000 0.00000 0.00000 
0.09102 -3245.54810 -561.19102 5233.10287 6183.36000 0.00000 -0.00000 0.00000 0.00000 
0.10012 -3234.65950 -553.35197 5220.90741 6166.61000 0.00000 -0.00000 0.00000 0.00000 
0.10922 -3222.47182 -544.42173 5207.41610 6148.00000 0.00000 -0.00000 0.00000 0.00000 
0.11832 -3208.63491 -534.35964 5192.05425 6126.85000 0.00000 -0.00000 0.00000 0.00000 
0.12743 -3193.26757 -523.20772 5175.00284 6103.39000 0.00000 -0.00000 0.00000 0.00000 
