Time(s) Force[Z](Spherical:9)-CabeceoCaso3.iaa(N) Force[Y](Spherical:9)-CabeceoCaso3.iaa(N) Force[X](Spherical:9)-CabeceoCaso3.iaa(N) Force(Spherical:9)-CabeceoCaso3.iaa(N) Moment[Z](Spherical:9)-CabeceoCaso3.iaa(N.mm) Moment[Y](Spherical:9)-CabeceoCaso3.iaa(N.mm) Moment[X](Spherical:9)-CabeceoCaso3.iaa(N.mm) Moment(Spherical:9)-CabeceoCaso3.iaa(N.mm) 
0.00000 -4345.74727 22.23612 1340.55678 4547.87000 -0.00179 0.01768 -0.00777 0.01939 
0.01532 -4577.95620 23.42454 1412.17223 4790.87000 -0.00000 -0.00000 -0.00000 0.00000 
0.03064 -4809.47940 24.60964 1483.36941 5033.10000 -0.00000 0.00000 -0.00000 0.00000 
0.04596 -5039.61947 25.78802 1553.69088 5273.74000 -0.00000 -0.00000 -0.00000 0.00000 
0.06128 -5267.55546 26.95570 1622.60334 5511.87000 -0.00000 -0.00000 -0.00000 0.00000 
0.07660 -5492.74062 28.11013 1689.62211 5746.81000 -0.00000 0.00000 -0.00000 0.00000 
0.09192 -5713.43231 29.24263 1753.86168 5976.64000 -0.00000 0.00000 -0.00000 0.00000 
0.10724 -5932.18995 30.36657 1815.72729 6203.92000 -0.00000 -0.00000 -0.00000 0.00000 
0.12257 -6135.36491 31.41230 1870.64208 6414.28000 -0.00000 0.00000 -0.00000 0.00000 
0.13789 -6102.01585 31.24839 1851.23468 6376.73000 -0.00000 -0.00000 -0.00000 0.00000 
0.15321 -6071.40787 31.09970 1830.74655 6341.50000 -0.00000 -0.00000 -0.00000 0.00000 
0.16853 -6032.81156 30.91108 1805.99320 6297.41000 -0.00000 0.00000 -0.00000 0.00000 
0.18385 -5989.18775 30.69749 1777.95873 6247.60000 -0.00000 -0.00000 -0.00000 0.00000 
0.19917 -5939.84315 30.45516 1746.53638 6191.37000 -0.00000 0.00000 -0.00000 0.00000 
0.21449 -5885.06995 30.18537 1711.92597 6129.08000 -0.00000 0.00000 -0.00000 0.00000 
0.22981 -5824.90267 29.88804 1674.26129 6060.82000 -0.00000 -0.00000 -0.00000 0.00000 
0.24513 -5759.44872 29.56352 1633.70751 5986.75000 -0.00000 0.00000 -0.00001 0.00001 
0.26045 -5688.79816 29.21204 1590.43386 5907.01000 -0.00000 0.00000 -0.00001 0.00001 
0.27577 -5613.04582 28.83388 1544.61941 5821.77000 0.00000 0.00000 -0.00000 0.00000 
0.29109 -5532.28364 28.42934 1496.45019 5731.17000 -0.00000 -0.00001 -0.00000 0.00001 
0.30642 -5446.60088 27.99871 1446.11859 5635.38000 0.00000 0.00000 -0.00000 0.00000 
0.32174 -5356.08252 27.54231 1393.82231 5534.54000 0.00000 0.00000 -0.00000 0.00000 
0.33706 -5260.80801 27.06044 1339.76351 5428.79000 0.00000 0.00000 -0.00000 0.00000 
0.35238 -5160.85083 26.55342 1284.14819 5318.28000 0.00000 0.00000 -0.00000 0.00000 
0.36770 -5056.27515 26.02155 1227.18488 5203.13000 0.00000 0.00000 -0.00000 0.00000 
0.38302 -4947.14410 25.46515 1169.08639 5083.47000 -0.00000 0.00000 -0.00000 0.00000 
0.39834 -4833.48525 24.88441 1110.06126 4959.38000 0.00000 0.00000 -0.00000 0.00000 
0.41366 -4715.41590 24.28001 1050.34243 4831.04000 0.00000 0.00000 -0.00000 0.00000 
0.42898 -4592.67399 23.65070 990.08241 4698.24000 0.00000 0.00000 -0.00000 0.00000 
0.44430 -4466.36281 23.00228 929.73002 4562.16000 0.00000 0.00000 -0.00000 0.00000 
0.45962 -4332.45040 22.31414 868.67456 4418.73000 0.00000 0.00000 -0.00000 0.00000 
0.47494 -4205.98738 21.66395 810.11191 4283.35000 0.00000 0.00000 -0.00000 0.00000 
0.49027 -4029.07696 20.75381 743.29372 4097.12000 0.00000 -0.00000 -0.00000 0.00000 
0.50559 -3643.40509 18.76894 641.73532 3699.54000 0.00000 -0.00000 -0.00000 0.00000 
0.52091 -3279.17848 16.89476 549.63223 3324.97000 0.00000 -0.00000 0.00000 0.00000 
0.53623 -2905.78364 14.97383 461.87901 2942.30000 0.00000 -0.00000 0.00000 0.00000 
0.55155 -2531.83410 13.05058 380.25916 2560.26000 0.00000 -0.00000 -0.00000 0.00000 
0.56687 -2155.41423 11.11520 304.70594 2176.87000 0.00000 -0.00000 0.00000 0.00000 
0.58219 -1777.41643 9.17223 235.53373 1792.98000 0.00000 -0.00000 0.00000 0.00000 
0.59751 -1397.97912 7.22227 172.87493 1408.65000 0.00000 -0.00000 0.00000 0.00000 
0.61283 -1017.45556 5.26696 116.82642 1024.15000 0.00000 -0.00000 0.00000 0.00000 
0.62815 -636.15124 3.30764 67.41410 639.72200 0.00000 -0.00000 0.00000 0.00000 
0.64347 -254.45072 1.34600 24.60939 255.64200 -0.00000 -0.00000 0.00000 0.00000 
0.65879 127.38568 -0.61691 -11.69014 127.92244 -0.00000 -0.00000 0.00000 0.00000 
0.67412 508.49521 -2.57698 -41.59426 510.20000 -0.00000 -0.00000 0.00000 0.00000 
0.68944 890.08979 -4.54078 -65.43809 892.50354 -0.00000 -0.00000 0.00000 0.00000 
0.70476 1265.40723 -6.47374 -83.04039 1268.15000 -0.00000 -0.00000 0.00000 0.00000 
0.72008 1657.34090 -8.49421 -96.18286 1660.15000 -0.00000 -0.00000 0.00000 0.00000 
0.73540 1971.28573 -10.11420 -100.06612 1973.85000 -0.00000 -0.00000 0.00000 0.00000 
0.75072 2093.19188 -10.74421 -91.70981 2095.23000 -0.00000 -0.00000 0.00000 0.00000 
0.76604 2240.93521 -11.50863 -83.28585 2242.51000 -0.00000 -0.00000 0.00000 0.00000 
0.78136 2376.47827 -12.21107 -73.23235 2377.64000 -0.00000 -0.00000 0.00000 0.00000 
0.79668 2509.90130 -12.90367 -62.13737 2510.70000 -0.00000 -0.00000 0.00000 0.00000 
0.81200 2638.33366 -13.57165 -50.08872 2638.84000 -0.00000 -0.00000 0.00000 0.00000 
0.82732 2762.39214 -14.21828 -37.27848 2762.68000 -0.00000 -0.00000 0.00000 0.00000 
0.84264 2881.75645 -14.84202 -23.86824 2881.89000 -0.00000 -0.00000 0.00000 0.00000 
0.85796 2996.36096 -15.44270 -10.01808 2996.42000 -0.00000 -0.00000 0.00000 0.00000 
0.87328 3106.07443 -16.01985 4.11938 3106.12000 -0.00000 -0.00000 0.00000 0.00000 
0.88861 3210.78688 -16.57317 18.39799 3210.88000 -0.00000 -0.00000 0.00000 0.00000 
0.90393 3310.38654 -17.10239 32.67831 3310.59000 -0.00000 -0.00000 0.00000 0.00000 
0.91925 3404.76637 -17.60731 46.82760 3405.13000 -0.00000 -0.00000 0.00000 0.00000 
0.93457 3493.82268 -18.08773 60.71996 3494.40000 -0.00000 -0.00000 0.00000 0.00000 
0.94989 3577.45531 -18.54346 74.23637 3578.27000 -0.00000 -0.00000 0.00000 0.00000 
0.96521 3655.56930 -18.97420 87.26477 3656.66000 0.00000 -0.00000 0.00000 0.00000 
0.98053 3728.06960 -19.37944 99.70010 3729.45000 -0.00000 -0.00000 0.00000 0.00000 
0.99585 3794.88239 -19.75847 111.44491 3796.57000 -0.00000 -0.00000 0.00000 0.00000 
1.01117 3855.87713 -20.10984 122.40736 3857.87000 0.00000 -0.00000 0.00000 0.00000 
1.02649 3911.16031 -20.43277 132.51070 3913.46000 0.00000 -0.00000 0.00000 0.00000 
1.04181 3959.97849 -20.72142 141.65662 3962.57000 0.00000 -0.00000 0.00000 0.00000 
1.05713 4004.82386 -20.98634 149.87183 4007.68000 0.00000 -0.00000 0.00000 0.00000 
1.07245 4036.08222 -21.17449 156.73626 4039.18000 0.00000 -0.00000 0.00000 0.00000 
1.08778 4089.43174 -21.46942 163.60462 4092.76000 0.00000 -0.00000 0.00000 0.00000 
1.10310 4009.66413 -21.05794 164.16291 4013.08000 0.00000 -0.00000 0.00000 0.00000 
1.11842 3766.10393 -19.77830 156.86876 3769.42000 0.00000 -0.00000 0.00000 0.00000 
1.13374 3549.10002 -18.62536 149.67232 3552.30000 0.00000 0.00000 0.00000 0.00000 
1.14906 3318.88579 -17.39344 141.15010 3321.93000 0.00000 -0.00005 -0.00002 0.00006 
