Time(s) Force[Z](Spherical:10)-CabeceoCaso3.iaa(N) Force[Y](Spherical:10)-CabeceoCaso3.iaa(N) Force[X](Spherical:10)-CabeceoCaso3.iaa(N) Force(Spherical:10)-CabeceoCaso3.iaa(N) Moment[Z](Spherical:10)-CabeceoCaso3.iaa(N.mm) Moment[Y](Spherical:10)-CabeceoCaso3.iaa(N.mm) Moment[X](Spherical:10)-CabeceoCaso3.iaa(N.mm) Moment(Spherical:10)-CabeceoCaso3.iaa(N.mm) 
0.00000 -2386.95422 -428.73251 3845.52764 4546.37000 0.00708 0.01712 0.00572 0.01939 
0.01532 -2514.48820 -451.64876 4051.09804 4789.37000 0.00000 -0.00000 0.00000 0.00000 
0.03064 -2641.32382 -474.49515 4256.18924 5031.59000 0.00000 -0.00000 0.00000 0.00000 
0.04596 -2766.70138 -497.20022 4460.33331 5272.23000 0.00000 -0.00000 0.00000 0.00000 
0.06128 -2889.73415 -519.67998 4662.97613 5510.35000 0.00000 -0.00000 0.00000 0.00000 
0.07660 -3009.62948 -541.87707 4863.82789 5745.29000 0.00000 -0.00000 0.00000 0.00000 
0.09192 -3124.88710 -563.61582 5061.55853 5975.11000 0.00000 0.00000 0.00000 0.00000 
0.10724 -3236.31163 -585.14475 5258.66677 6202.39000 0.00000 -0.00000 0.00000 0.00000 
0.12257 -3335.82917 -605.11304 5443.28919 6412.75000 0.00000 -0.00000 0.00000 0.00000 
0.13789 -3303.28394 -601.72474 5419.34730 6375.19000 0.00000 -0.00000 0.00000 0.00000 
0.15321 -3269.21846 -598.58672 5398.98531 6339.96000 0.00000 -0.00000 0.00000 0.00000 
0.16853 -3227.92205 -594.64165 5372.61384 6295.88000 0.00000 -0.00000 0.00000 0.00000 
0.18385 -3181.11779 -590.18269 5342.79421 6246.06000 0.00000 -0.00000 0.00000 0.00000 
0.19917 -3128.57681 -585.14284 5308.82889 6189.83000 0.00000 -0.00000 0.00000 0.00000 
0.21449 -3070.61448 -579.55238 5270.88977 6127.55000 0.00000 -0.00000 0.00000 0.00000 
0.22981 -3007.42490 -573.41637 5228.91127 6059.28000 0.00000 -0.00000 0.00000 0.00000 
0.24513 -2939.25562 -566.74720 5182.88625 5985.21000 0.00001 -0.00000 0.00000 0.00001 
0.26045 -2866.35925 -559.55566 5132.78603 5905.47000 0.00001 -0.00000 0.00000 0.00001 
0.27577 -2789.00440 -551.85317 5078.58115 5820.23000 0.00000 -0.00000 0.00000 0.00000 
0.29109 -2707.47096 -543.65093 5020.23527 5729.64000 -0.00000 -0.00001 -0.00000 0.00001 
0.30642 -2622.04962 -534.96002 4957.70625 5633.84000 0.00000 -0.00000 0.00000 0.00000 
0.32174 -2533.04051 -525.79113 4890.94548 5533.00000 0.00000 -0.00000 0.00000 0.00000 
0.33706 -2440.75214 -516.15453 4819.89758 5427.26000 0.00000 -0.00000 0.00000 0.00000 
0.35238 -2345.50082 -506.05991 4744.50075 5316.74000 0.00000 -0.00000 0.00000 0.00000 
0.36770 -2247.60886 -495.51610 4664.68450 5201.59000 0.00000 -0.00000 0.00000 0.00000 
0.38302 -2147.40810 -484.53182 4580.37800 5081.93000 0.00000 -0.00000 0.00000 0.00000 
0.39834 -2045.22488 -473.11231 4491.47881 4957.84000 0.00000 -0.00000 0.00000 0.00000 
0.41366 -1941.43316 -461.27156 4397.97000 4829.50000 0.00000 -0.00000 0.00000 0.00000 
0.42898 -1836.26135 -448.98639 4299.48326 4696.70000 0.00000 -0.00000 0.00000 0.00000 
0.44430 -1730.49124 -436.36704 4196.93309 4560.62000 0.00000 -0.00000 0.00000 0.00000 
0.45962 -1622.93559 -423.02180 4086.40816 4417.19000 -0.00000 -0.00000 0.00000 0.00000 
0.47494 -1519.52706 -410.42257 3982.01753 4281.81000 0.00000 -0.00000 0.00000 0.00000 
0.49027 -1400.03161 -392.92094 3828.74286 4095.58000 0.00000 -0.00000 0.00000 0.00000 
0.50559 -1214.08793 -355.09076 3474.92518 3698.00000 -0.00000 -0.00000 0.00000 0.00000 
0.52091 -1044.69135 -319.40045 3138.75769 3323.43000 -0.00000 -0.00000 0.00000 0.00000 
0.53623 -882.21730 -282.86417 2791.02428 2940.77000 -0.00000 -0.00000 0.00000 0.00000 
0.55155 -730.08984 -246.32010 2439.96654 2558.74000 -0.00000 -0.00000 0.00000 0.00000 
0.56687 -588.24346 -209.57931 2083.79546 2175.35000 -0.00000 -0.00000 -0.00000 0.00000 
0.58219 -457.36084 -172.72553 1723.46071 1791.46000 -0.00000 -0.00000 0.00000 0.00000 
0.59751 -337.79376 -135.76841 1359.22192 1407.13000 -0.00000 -0.00000 0.00000 0.00000 
0.61283 -229.84059 -98.73796 991.57787 1022.64000 -0.00000 -0.00000 0.00000 0.00000 
0.62815 -133.67419 -61.65913 621.00696 638.21600 -0.00000 -0.00000 0.00000 0.00000 
0.64347 -49.37058 -24.56435 248.08544 254.14000 -0.00000 -0.00000 0.00000 0.00000 
0.65879 23.13313 12.52615 -126.71734 129.41900 -0.00000 -0.00000 0.00000 0.00000 
0.67412 83.90875 49.53352 -502.33008 511.69300 -0.00000 -0.00000 0.00000 0.00000 
0.68944 133.48158 86.58022 -879.72108 893.99300 -0.00000 -0.00000 0.00000 0.00000 
0.70476 171.31767 123.01409 -1251.99028 1269.63000 -0.00000 -0.00000 -0.00000 0.00000 
0.72008 200.94864 161.06178 -1641.55416 1661.63000 -0.00000 -0.00000 0.00000 0.00000 
0.73540 212.09662 191.54202 -1954.54518 1975.33000 -0.00000 -0.00000 0.00000 0.00000 
0.75072 197.70401 203.38457 -2077.43229 2096.71000 -0.00000 -0.00000 0.00000 0.00000 
0.76604 183.33506 217.74240 -2225.86406 2243.99000 -0.00000 -0.00000 0.00000 0.00000 
0.78136 165.57995 230.92298 -2362.08689 2379.12000 -0.00000 -0.00000 0.00000 0.00000 
0.79668 145.66595 243.90518 -2496.06773 2512.18000 -0.00000 -0.00000 0.00000 0.00000 
0.81200 123.72735 256.41037 -2624.92923 2640.32000 -0.00000 -0.00000 0.00000 0.00000 
0.82732 100.13998 268.49841 -2749.26556 2764.16000 -0.00000 -0.00000 0.00000 0.00000 
0.84264 75.21482 280.13812 -2868.74678 2883.37000 -0.00000 -0.00000 0.00000 0.00000 
0.85796 49.26594 291.32300 -2983.30261 2997.90000 -0.00000 -0.00000 0.00000 0.00000 
0.87328 22.59494 302.04015 -3092.80329 3107.60000 -0.00000 -0.00000 0.00000 0.00000 
0.88861 -4.50654 312.27871 -3197.14526 3212.36000 -0.00000 -0.00000 0.00000 0.00000 
0.90393 -31.75810 322.02763 -3296.22759 3312.07000 -0.00000 -0.00000 0.00000 0.00000 
0.91925 -58.89112 331.27625 -3389.95774 3406.61000 -0.00000 -0.00000 0.00000 0.00000 
0.93457 -85.64941 340.01413 -3478.24957 3495.88000 -0.00000 -0.00000 0.00000 0.00000 
0.94989 -111.78980 348.23096 -3561.02287 3579.75000 -0.00000 -0.00000 0.00000 0.00000 
0.96521 -137.08278 355.91661 -3638.20444 3658.14000 -0.00000 -0.00000 0.00000 0.00000 
0.98053 -161.31273 363.06044 -3709.72217 3730.93000 -0.00000 -0.00000 0.00000 0.00000 
0.99585 -184.27931 369.65318 -3775.52579 3798.05000 -0.00000 -0.00000 0.00000 0.00000 
1.01117 -205.79390 375.67917 -3835.50880 3859.35000 -0.00000 -0.00000 0.00000 0.00000 
1.02649 -225.69534 381.14479 -3889.80009 3914.94000 -0.00000 -0.00000 0.00000 0.00000 
