Time(s) Force[Z](Spherical:9)(N) Force[Y](Spherical:9)(N) Force[X](Spherical:9)(N) Force(Spherical:9)(N) Moment[Z](Spherical:9)(N.mm) Moment[Y](Spherical:9)(N.mm) Moment[X](Spherical:9)(N.mm) Moment(Spherical:9)(N.mm) 
0.00000 -0.30902 836.73600 0.00527 836.73600 -0.00000 -0.00000 -0.00005 0.00005 
0.00100 -0.31530 850.00000 0.00537 850.00000 0.00000 0.00000 -0.00000 0.00000 
0.00200 -0.32158 863.26700 0.00547 863.26700 0.00000 0.00000 -0.00000 0.00000 
0.00300 -0.32786 876.54100 0.00557 876.54100 0.00000 0.00000 -0.00000 0.00000 
0.00400 -0.33414 889.83400 0.00567 889.83400 0.00000 0.00000 -0.00000 0.00000 
0.00500 -0.34042 903.03200 0.00577 903.03200 0.00000 0.00000 -0.00000 0.00000 
0.00600 -0.34669 916.27800 0.00587 916.27800 0.00000 0.00000 -0.00000 0.00000 
0.00700 -0.35297 929.59500 0.00597 929.59500 0.00000 0.00000 -0.00000 0.00000 
0.00800 -0.35925 943.01000 0.00607 943.01000 0.00000 0.00000 -0.00000 0.00000 
0.00900 -0.36552 956.05500 0.00617 956.05500 0.00000 0.00000 -0.00000 0.00000 
0.01000 -0.37179 969.24400 0.00627 969.24400 0.00000 0.00000 -0.00000 0.00000 
0.01100 -0.37806 982.63100 0.00637 982.63100 0.00000 0.00000 -0.00000 0.00000 
0.01200 -0.38433 996.25800 0.00647 996.25800 0.00000 0.00000 -0.00000 0.00000 
0.01300 -0.39059 1009.07000 0.00657 1009.07000 0.00000 0.00000 -0.00000 0.00000 
0.01400 -0.39684 1022.15000 0.00667 1022.15000 0.00000 0.00000 -0.00000 0.00000 
0.01500 -0.40309 1035.63000 0.00677 1035.63000 0.00000 0.00000 -0.00000 0.00000 
0.01600 -0.40933 1049.55000 0.00687 1049.55000 0.00000 0.00000 -0.00000 0.00000 
0.01700 -0.41556 1062.07000 0.00697 1062.07000 0.00000 0.00000 -0.00000 0.00000 
0.01800 -0.42179 1075.03000 0.00707 1075.03000 0.00000 0.00000 -0.00000 0.00000 
0.01900 -0.42800 1088.62000 0.00717 1088.62000 0.00000 0.00000 -0.00000 0.00000 
0.02000 -0.43421 1102.93000 0.00727 1102.93000 0.00000 0.00000 -0.00000 0.00000 
0.02100 -0.44038 1115.04000 0.00737 1115.04000 0.00000 0.00000 -0.00000 0.00000 
