Time(s) Force[Z](Spherical:10)(N) Force[Y](Spherical:10)(N) Force[X](Spherical:10)(N) Force(Spherical:10)(N) Moment[Z](Spherical:10)(N.mm) Moment[Y](Spherical:10)(N.mm) Moment[X](Spherical:10)(N.mm) Moment(Spherical:10)(N.mm) 
0.00000 -0.04962 -835.22400 0.00085 835.22400 0.00000 0.00000 0.00005 0.00005 
0.00100 -0.05099 -848.46400 0.00088 848.46400 -0.00000 -0.00000 0.00000 0.00000 
0.00200 -0.05236 -861.70700 0.00090 861.70700 -0.00000 -0.00000 0.00000 0.00000 
0.00300 -0.05373 -874.95700 0.00092 874.95700 -0.00000 -0.00000 0.00000 0.00000 
0.00400 -0.05511 -888.22600 0.00095 888.22600 -0.00000 -0.00000 0.00000 0.00000 
0.00500 -0.05648 -901.40000 0.00097 901.40000 -0.00000 -0.00000 0.00000 0.00000 
0.00600 -0.05785 -914.62200 0.00099 914.62200 -0.00000 -0.00000 0.00000 0.00000 
0.00700 -0.05922 -927.91500 0.00101 927.91500 -0.00000 -0.00000 0.00000 0.00000 
0.00800 -0.06059 -941.30500 0.00104 941.30500 -0.00000 -0.00000 0.00000 0.00000 
0.00900 -0.06196 -954.32600 0.00106 954.32600 -0.00000 -0.00000 0.00000 0.00000 
0.01000 -0.06333 -967.49100 0.00108 967.49100 -0.00000 -0.00000 0.00000 0.00000 
0.01100 -0.06470 -980.85400 0.00111 980.85400 -0.00000 -0.00000 0.00000 0.00000 
0.01200 -0.06607 -994.45700 0.00113 994.45700 -0.00000 -0.00000 0.00000 0.00000 
0.01300 -0.06744 -1007.24000 0.00115 1007.24000 -0.00000 -0.00000 0.00000 0.00000 
0.01400 -0.06880 -1020.30000 0.00117 1020.30000 -0.00000 -0.00000 0.00000 0.00000 
0.01500 -0.07017 -1033.76000 0.00120 1033.76000 -0.00000 -0.00000 0.00000 0.00000 
0.01600 -0.07153 -1047.65000 0.00122 1047.65000 -0.00000 -0.00000 0.00000 0.00000 
0.01700 -0.07289 -1060.15000 0.00124 1060.15000 -0.00000 -0.00000 0.00000 0.00000 
0.01800 -0.07425 -1073.08000 0.00127 1073.08000 -0.00000 -0.00000 0.00000 0.00000 
0.01900 -0.07560 -1086.65000 0.00129 1086.65000 -0.00000 -0.00000 0.00000 0.00000 
0.02000 -0.07695 -1100.94000 0.00131 1100.94000 -0.00000 -0.00000 0.00000 0.00000 
0.02100 -0.07829 -1113.03000 0.00133 1113.03000 -0.00000 -0.00000 0.00000 0.00000 
0.02200 -0.07963 -1125.72000 0.00136 1125.72000 -0.00000 -0.00000 0.00000 0.00000 
0.02300 -0.08095 -1139.36000 0.00138 1139.36000 -0.00000 -0.00000 0.00000 0.00000 
0.02400 -0.08228 -1154.03000 0.00140 1154.03000 -0.00000 -0.00000 0.00000 0.00000 
0.02500 -0.08361 -1165.89000 0.00142 1165.89000 -0.00000 -0.00000 0.00000 0.00000 
0.02600 -0.08494 -1178.56000 0.00144 1178.56000 -0.00000 -0.00000 0.00000 0.00000 
0.02700 -0.08626 -1192.54000 0.00147 1192.54000 -0.00000 -0.00000 0.00000 0.00000 
0.02800 -0.08756 -1207.95000 0.00149 1207.95000 -0.00000 -0.00000 0.00000 0.00000 
0.02900 -0.08882 -1218.70000 0.00151 1218.70000 -0.00000 -0.00000 0.00000 0.00000 
0.03000 -0.09005 -1230.27000 0.00153 1230.27000 -0.00000 -0.00000 0.00000 0.00000 
0.03100 -0.09127 -1243.55000 0.00155 1243.55000 -0.00000 -0.00000 0.00000 0.00000 
0.03200 -0.09248 -1258.63000 0.00157 1258.63000 -0.00000 -0.00000 0.00000 0.00000 
0.03300 -0.09250 -1258.67000 0.00157 1258.67000 -0.00000 -0.00000 0.00000 0.00000 
0.03400 -0.09234 -1257.38000 0.00157 1257.38000 -0.00000 -0.00000 0.00000 0.00000 
0.03500 -0.09218 -1257.21000 0.00157 1257.21000 -0.00000 -0.00000 0.00000 0.00000 
0.03600 -0.09200 -1258.12000 0.00156 1258.12000 -0.00000 -0.00000 0.00000 0.00000 
0.03700 -0.09187 -1256.91000 0.00156 1256.91000 -0.00000 -0.00000 0.00000 0.00000 
0.03800 -0.09174 -1256.27000 0.00156 1256.27000 -0.00000 -0.00000 0.00000 0.00000 
0.03900 -0.09159 -1256.73000 0.00156 1256.73000 -0.00000 -0.00000 0.00000 0.00000 
0.04000 -0.09144 -1258.28000 0.00155 1258.28000 -0.00000 -0.00000 0.00000 0.00000 
0.04100 -0.09128 -1257.12000 0.00155 1257.12000 -0.00000 -0.00000 0.00000 0.00000 
0.04200 -0.09110 -1256.29000 0.00155 1256.29000 -0.00000 -0.00000 0.00000 0.00000 
0.04300 -0.09092 -1256.51000 0.00154 1256.51000 -0.00000 -0.00000 0.00000 0.00000 
0.04400 -0.09073 -1257.77000 0.00154 1257.77000 -0.00000 -0.00000 0.00000 0.00000 
0.04500 -0.09054 -1256.71000 0.00154 1256.71000 -0.00000 -0.00000 0.00000 0.00000 
0.04600 -0.09034 -1255.94000 0.00153 1255.94000 -0.00000 -0.00000 0.00000 0.00000 
0.04700 -0.09013 -1256.17000 0.00153 1256.17000 -0.00000 -0.00000 0.00000 0.00000 
0.04800 -0.08992 -1257.39000 0.00153 1257.39000 -0.00000 -0.00000 0.00000 0.00000 
0.04900 -0.08970 -1256.41000 0.00152 1256.41000 -0.00000 -0.00000 0.00000 0.00000 
0.05000 -0.08947 -1255.64000 0.00152 1255.64000 -0.00000 -0.00000 0.00000 0.00000 
0.05100 -0.08924 -1255.81000 0.00152 1255.81000 -0.00000 -0.00000 0.00000 0.00000 
0.05200 -0.08900 -1256.91000 0.00151 1256.91000 -0.00000 -0.00000 0.00000 0.00000 
0.05300 -0.08875 -1256.03000 0.00151 1256.03000 -0.00000 -0.00000 0.00000 0.00000 
0.05400 -0.08850 -1255.28000 0.00150 1255.28000 -0.00000 -0.00000 0.00000 0.00000 
