//              Time(s)       Force[Z](Prismatic:19)(N) Force[Y](Prismatic:19)(N) Force[X](Prismatic:19)(N) Force(Prismatic:19)(N) Moment[Z](Prismatic:19)(N.mm) Moment[Y](Prismatic:19)(N.mm) Moment[X](Prismatic:19)(N.mm) Moment(Prismatic:19)(N.mm) 
               0.00000       1.66475      -0.69559       6932.73000    6932.73000   -36740.00000  -2505020.00000 -242.51600     2505290.00000 
               0.00556       117.79100    -0.69559       6932.73000    6933.73000   -36740.00000  -2609830.00000  362.37900     2610090.00000 
               0.01112       233.91700    -0.69559       6932.73000    6936.67000   -36740.00000  -2714610.00000  967.27600     2714860.00000 
               0.01667       350.04300    -0.69559       6932.73000    6941.56000   -36740.00000  -2819320.00000  1572.18000    2819560.00000 
               0.02223       466.16800    -0.69559       6932.73000    6948.38000   -36740.00000  -2923910.00000  2177.09000    2924150.00000 
               0.02779       582.30000    -0.69559       6932.73000    6957.14000   -36740.00000  -3028380.00000  2782.05000    3028600.00000 
               0.03335       698.40500    -0.69559       6932.73000    6967.82000   -36740.00000  -3132640.00000  3386.89000    3132860.00000 
               0.03890       814.60800    -0.69559       6932.73000    6980.42000   -36740.00000  -3236780.00000  3992.26000    3237000.00000 
               0.04446       930.44800    -0.69559       6932.73000    6994.89000   -36740.00000  -3340350.00000  4595.77000    3340560.00000 
               0.05002       1047.64000   -0.69559       6932.73000    7011.44000   -36740.00000  -3444860.00000  5206.33000    3445060.00000 
               0.05558       1159.78000   -0.69559       6932.73000    7029.07000   -36740.00000  -3544480.00000  5790.61000    3544680.00000 
               0.06114       1156.41000   -0.69559       6932.73000    7028.51000   -36740.00000  -3539510.00000  5773.25000    3539700.00000 
               0.06669       1157.31000   -0.69559       6932.73000    7028.66000   -36740.00000  -3538040.00000  5778.19000    3538240.00000 
               0.07225       1157.07000   -0.69559       6932.73000    7028.62000   -36740.00000  -3535190.00000  5777.19000    3535380.00000 
               0.07781       1157.13000   -0.69559       6932.73000    7028.63000   -36740.00000  -3532260.00000  5777.83000    3532460.00000 
               0.08337       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3528910.00000  5778.07000    3529110.00000 
               0.08892       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3525230.00000  5778.47000    3525420.00000 
               0.09448       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3521190.00000  5778.86000    3521390.00000 
               0.10004       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3516810.00000  5779.31000    3517000.00000 
               0.10560       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3512070.00000  5779.78000    3512270.00000 
               0.11116       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3506990.00000  5780.29000    3507180.00000 
               0.11671       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3501550.00000  5780.84000    3501750.00000 
               0.12227       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3495760.00000  5781.42000    3495960.00000 
               0.12783       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3489630.00000  5782.03000    3489830.00000 
               0.13339       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3483140.00000  5782.68000    3483340.00000 
               0.13895       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3476310.00000  5783.37000    3476500.00000 
               0.14450       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3469120.00000  5784.09000    3469320.00000 
               0.15006       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3461580.00000  5784.85000    3461780.00000 
               0.15562       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3453700.00000  5785.64000    3453900.00000 
               0.16118       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3445460.00000  5786.46000    3445660.00000 
               0.16673       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3436870.00000  5787.32000    3437070.00000 
               0.17229       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3427940.00000  5788.22000    3428140.00000 
               0.17785       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3418650.00000  5789.15000    3418850.00000 
               0.18341       1157.12000   -0.69559       6932.73000    7028.63000   -36740.00000  -3409010.00000  5790.13000    3409220.00000 
               0.18896       1157.11000   -0.69559       6932.73000    7028.63000   -36740.00000  -3399020.00000  5791.09000    3399220.00000 
               0.19452       1157.14000   -0.69559       6932.73000    7028.63000   -36740.00000  -3388700.00000  5792.26000    3388910.00000 
               0.20008       1157.05000   -0.69559       6932.73000    7028.62000   -36740.00000  -3377930.00000  5792.85000    3378140.00000 
               0.20564       1157.40000   -0.69559       6932.73000    7028.67000   -36740.00000  -3367210.00000  5795.78000    3367420.00000 
               0.21120       1156.09000   -0.69559       6932.73000    7028.46000   -36740.00000  -3354640.00000  5790.11000    3354850.00000 
               0.21675       1160.97000   -0.69559       6932.73000    7029.26000   -36740.00000  -3347310.00000  5816.71000    3347520.00000 
               0.22231       1141.82000   -0.69559       6932.73000    7026.13000   -36740.00000  -3317940.00000  5718.20000    3318150.00000 
               0.22787       1015.64000   -0.69559       6932.73000    7006.73000   -36740.00000  -3191620.00000  5062.18000    3191840.00000 
               0.23343       902.21100    -0.69559       6932.73000    6991.19000   -36740.00000  -3076500.00000  4472.60000    3076720.00000 
               0.23899       785.36300    -0.69559       6932.73000    6977.07000   -36740.00000  -2958020.00000  3865.25000    2958250.00000 
               0.24454       669.43100    -0.69559       6932.73000    6964.97000   -36740.00000  -2840130.00000  3262.69000    2840370.00000 
               0.25010       553.25300    -0.69559       6932.73000    6954.77000   -36740.00000  -2721820.00000  2658.88000    2722070.00000 
               0.25566       437.14100    -0.69559       6932.73000    6946.50000   -36740.00000  -2603400.00000  2055.42000    2603660.00000 
               0.26122       321.01100    -0.69559       6932.73000    6940.16000   -36740.00000  -2484830.00000  1451.89000    2485100.00000 
               0.26677       204.88600    -0.69559       6932.73000    6935.75000   -36740.00000  -2366170.00000  848.38600     2366460.00000 
               0.27233       88.75930     -0.69559       6932.73000    6933.30000   -36740.00000  -2247450.00000  244.88500     2247750.00000 
               0.27789      -27.36670     -0.69559       6932.73000    6932.78000   -36740.00000  -2128700.00000 -358.61026     2129020.00000 
               0.28345      -143.49300    -0.69559       6932.73000    6934.21000   -36740.00000  -2009960.00000 -962.10800     2010290.00000 
               0.28901      -259.61800    -0.69559       6932.73000    6937.59000   -36740.00000  -1891260.00000 -1565.61000    1891620.00000 
               0.29456      -375.74700    -0.69559       6932.73000    6942.90000   -36740.00000  -1772640.00000 -2169.13000    1773030.00000 
               0.30012      -491.86300    -0.69559       6932.73000    6950.15000   -36740.00000  -1654150.00000 -2772.60000    1654560.00000 
               0.30568      -608.02800    -0.69559       6932.73000    6959.34000   -36740.00000  -1535760.00000 -3376.33000    1536200.00000 
               0.31124      -724.00900    -0.69559       6932.73000    6970.43000   -36740.00000  -1417720.00000 -3979.13000    1418200.00000 
               0.31679      -840.67600    -0.69559       6932.73000    6983.51000   -36740.00000  -1299290.00000 -4585.53000    1299810.00000 
               0.32235      -954.78300    -0.69559       6932.73000    6998.17000   -36740.00000  -1183410.00000 -5178.61000    1184000.00000 
               0.32791      -1078.45000   -0.69559       6932.73000    7016.11000   -36740.00000  -1059210.00000 -5821.51000    1059860.00000 
               0.33347      -1163.31000   -0.69559       6932.73000    7029.65000   -36740.00000  -970352.00000 -6262.30000    971067.00000 
               0.33903      -1151.24000   -0.69559       6932.73000    7027.66000   -36740.00000  -969329.00000 -6198.26000    970045.00000 
               0.34458      -1154.47000   -0.69559       6932.73000    7028.19000   -36740.00000  -954848.00000 -6213.94000    955575.00000 
               0.35014      -1153.61000   -0.69559       6932.73000    7028.05000   -36740.00000  -944417.00000 -6208.30000    945152.00000 
               0.35570      -1153.84000   -0.69559       6932.73000    7028.09000   -36740.00000  -933345.00000 -6208.42000    934088.00000 
               0.36126      -1153.78000   -0.69559       6932.73000    7028.08000   -36740.00000  -922888.00000 -6207.04000    923640.00000 
               0.36682      -1153.79000   -0.69559       6932.73000    7028.08000   -36740.00000  -912711.00000 -6206.11000    913471.00000 
               0.37237      -1153.79000   -0.69559       6932.73000    7028.08000   -36740.00000  -902902.00000 -6205.10000    903671.00000 
               0.37793      -1153.79000   -0.69559       6932.73000    7028.08000   -36740.00000  -893439.00000 -6204.16000    894216.00000 
               0.38349      -1153.79000   -0.69559       6932.73000    7028.08000   -36740.00000  -884327.00000 -6203.24000    885112.00000 
               0.38905      -1153.79000   -0.69559       6932.73000    7028.08000   -36740.00000  -875565.00000 -6202.36000    876358.00000 
