Time(s) Force[Z](Prismatic:19)(N) Force[Y](Prismatic:19)(N) Force[X](Prismatic:19)(N) Force(Prismatic:19)(N) Moment[Z](Prismatic:19)(N.mm) Moment[Y](Prismatic:19)(N.mm) Moment[X](Prismatic:19)(N.mm) Moment(Prismatic:19)(N.mm) 
0.00000 1.66475 -0.69559 6932.73000 6932.73000 200509.00000 -1804300.00000 -229.18000 1815410.00000 
0.00556 117.79100 -0.69559 6932.73000 6933.73000 200509.00000 -1914590.00000 -3598.85000 1925060.00000 
0.01112 233.91700 -0.69559 6932.73000 6936.67000 200509.00000 -2024840.00000 -6968.52000 2034760.00000 
0.01667 350.04300 -0.69559 6932.73000 6941.56000 200509.00000 -2135030.00000 -10338.20000 2144450.00000 
0.02223 466.16800 -0.69559 6932.73000 6948.38000 200509.00000 -2245110.00000 -13707.80000 2254080.00000 
0.02779 582.30000 -0.69559 6932.73000 6957.14000 200509.00000 -2355050.00000 -17077.60000 2363630.00000 
0.03335 698.40500 -0.69559 6932.73000 6967.82000 200509.00000 -2464790.00000 -20446.60000 2473020.00000 
0.03890 814.60800 -0.69559 6932.73000 6980.42000 200509.00000 -2574410.00000 -23818.40000 2582320.00000 
0.04446 930.44800 -0.69559 6932.73000 6994.89000 200509.00000 -2683450.00000 -27179.70000 2691060.00000 
0.05002 1047.64000 -0.69559 6932.73000 7011.44000 200509.00000 -2793480.00000 -30580.20000 2800830.00000 
0.05558 1159.78000 -0.69559 6932.73000 7029.07000 200509.00000 -2898400.00000 -33833.90000 2905520.00000 
0.06114 1156.41000 -0.69559 6932.73000 7028.51000 200509.00000 -2893260.00000 -33736.00000 2900400.00000 
0.06669 1157.31000 -0.69559 6932.73000 7028.66000 200509.00000 -2891840.00000 -33761.90000 2898980.00000 
0.07225 1157.07000 -0.69559 6932.73000 7028.62000 200509.00000 -2888970.00000 -33754.70000 2896120.00000 
0.07781 1157.13000 -0.69559 6932.73000 7028.63000 200509.00000 -2886050.00000 -33756.20000 2893200.00000 
0.08337 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2882700.00000 -33755.40000 2889860.00000 
0.08892 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2879020.00000 -33755.20000 2886190.00000 
0.09448 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2874980.00000 -33754.70000 2882160.00000 
0.10004 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2870600.00000 -33754.30000 2877790.00000 
0.10560 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2865860.00000 -33753.80000 2873060.00000 
0.11116 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2860770.00000 -33753.30000 2867990.00000 
0.11671 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2855340.00000 -33752.80000 2862570.00000 
0.12227 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2849550.00000 -33752.20000 2856800.00000 
0.12783 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2843420.00000 -33751.60000 2850680.00000 
0.13339 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2836930.00000 -33750.90000 2844210.00000 
0.13895 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2830090.00000 -33750.20000 2837390.00000 
0.14450 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2822910.00000 -33749.50000 2830220.00000 
0.15006 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2815370.00000 -33748.80000 2822700.00000 
0.15562 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2807480.00000 -33748.00000 2814840.00000 
0.16118 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2799250.00000 -33747.10000 2806620.00000 
0.16673 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2790660.00000 -33746.30000 2798060.00000 
0.17229 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2781720.00000 -33745.40000 2789150.00000 
0.17785 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2772440.00000 -33744.40000 2779880.00000 
0.18341 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2762800.00000 -33743.50000 2770270.00000 
0.18896 1157.11000 -0.69559 6932.73000 7028.63000 200509.00000 -2752810.00000 -33742.30000 2760310.00000 
0.19452 1157.14000 -0.69559 6932.73000 7028.63000 200509.00000 -2742490.00000 -33742.00000 2750020.00000 
0.20008 1157.05000 -0.69559 6932.73000 7028.62000 200509.00000 -2731720.00000 -33738.20000 2739270.00000 
0.20564 1157.40000 -0.69559 6932.73000 7028.67000 200509.00000 -2721010.00000 -33747.30000 2728600.00000 
0.21120 1156.09000 -0.69559 6932.73000 7028.46000 200509.00000 -2708380.00000 -33708.20000 2716000.00000 
