Time(s) Force[Z](Spherical:9)-ArfadaCaso3.iaa(N) Force[Y](Spherical:9)-ArfadaCaso3.iaa(N) Force[X](Spherical:9)-ArfadaCaso3.iaa(N) Force(Spherical:9)-ArfadaCaso3.iaa(N) Moment[Z](Spherical:9)-ArfadaCaso3.iaa(N.mm) Moment[Y](Spherical:9)-ArfadaCaso3.iaa(N.mm) Moment[X](Spherical:9)-ArfadaCaso3.iaa(N.mm) Moment(Spherical:9)-ArfadaCaso3.iaa(N.mm) 
0.00000 -2953.84981 20.49780 2924.66139 4156.84000 -0.00000 0.00012 0.00005 0.00013 
0.00635 -3008.41188 20.87625 2978.61980 4233.57000 -0.00000 -0.00004 -0.00000 0.00004 
0.01270 -3063.20974 21.25527 3032.51639 4310.44000 -0.00000 -0.00004 -0.00000 0.00004 
0.01905 -3118.47007 21.63528 3086.26110 4387.52000 -0.00000 -0.00004 -0.00000 0.00004 
0.02540 -3174.42611 22.01669 3139.74925 4464.92000 -0.00000 -0.00004 -0.00000 0.00004 
0.03175 -3231.42359 22.40058 3192.96596 4542.87000 -0.00000 -0.00004 -0.00000 0.00004 
0.03810 -3289.51939 22.78600 3245.58919 4621.18000 -0.00000 -0.00004 -0.00000 0.00004 
0.04445 -3350.00083 23.18040 3298.48738 4701.39000 -0.00000 -0.00004 -0.00000 0.00004 
0.05080 -3409.58317 23.55956 3348.00728 4778.59000 -0.00000 -0.00004 -0.00000 0.00004 
0.05715 -3416.39691 23.56446 3343.05140 4779.99000 -0.00000 -0.00004 -0.00000 0.00004 
0.06350 -3427.49692 23.58968 3339.70614 4785.60000 -0.00000 -0.00005 -0.00000 0.00005 
0.06985 -3439.83052 23.61415 3334.96987 4791.14000 -0.00000 -0.00004 -0.00000 0.00004 
0.07620 -3454.22681 23.64364 3329.63765 4797.78000 -0.00000 -0.00004 -0.00000 0.00004 
0.08255 -3470.43836 23.67645 3323.45357 4805.19000 -0.00000 -0.00004 -0.00000 0.00004 
0.08890 -3488.51499 23.71299 3316.44818 4813.43000 -0.00000 -0.00004 -0.00000 0.00004 
0.09525 -3508.42111 23.75305 3308.56797 4822.47000 -0.00000 -0.00004 -0.00000 0.00004 
0.10160 -3530.14282 23.79659 3299.77859 4832.29000 -0.00000 -0.00004 -0.00000 0.00004 
0.10795 -3553.65779 23.84351 3290.03620 4842.87000 -0.00000 -0.00004 -0.00000 0.00004 
0.11430 -3578.94370 23.89373 3279.29560 4854.19000 -0.00001 -0.00004 -0.00000 0.00005 
