Time(s) Force[Z](Revolution:2)-ArfadaCaso3.iaa(N) Force[Y](Revolution:2)-ArfadaCaso3.iaa(N) Force[X](Revolution:2)-ArfadaCaso3.iaa(N) Force(Revolution:2)-ArfadaCaso3.iaa(N) Moment[Z](Revolution:2)-ArfadaCaso3.iaa(N.mm) Moment[Y](Revolution:2)-ArfadaCaso3.iaa(N.mm) Moment[X](Revolution:2)-ArfadaCaso3.iaa(N.mm) Moment(Revolution:2)-ArfadaCaso3.iaa(N.mm) 
0.00000 20.49780 -2924.75813 -2953.98794 4157.00000 590782.77013 -42830.20752 46506.72014 594156.00000 
0.00635 20.87625 -2978.71654 -3008.55267 4233.74000 601695.71825 -43621.38801 47364.80701 605131.00000 
0.01270 21.25527 -3032.61312 -3063.35320 4310.61000 612655.82433 -44415.98741 48222.11109 616154.00000 
0.01905 21.63528 -3086.35780 -3118.61620 4387.69000 623708.42561 -45217.29258 49077.41207 627268.00000 
0.02540 22.01669 -3139.84590 -3174.57493 4465.09000 634900.16888 -46028.68534 49929.27140 638522.00000 
0.03175 22.40058 -3193.06254 -3231.57512 4543.04000 646300.20181 -46855.17884 50777.69372 649983.00000 
0.03810 22.78600 -3245.68566 -3289.67364 4621.36000 657919.89645 -47697.59752 51617.81431 661663.00000 
0.04445 23.18040 -3298.58370 -3350.15784 4701.57000 670016.72423 -48574.60790 52463.71996 673821.00000 
0.05080 23.55956 -3348.10341 -3409.74284 4778.78000 681933.70678 -49438.57946 53257.59282 685795.00000 
0.05715 23.56446 -3343.14730 -3416.55663 4780.17000 683296.43965 -49537.37559 53186.71581 687151.00000 
0.06350 23.58968 -3339.80175 -3427.65681 4785.78000 685516.44594 -49698.32325 53143.25521 689367.00000 
0.06985 23.61415 -3335.06514 -3439.99059 4791.32000 687983.16567 -49877.15724 53079.47855 691828.00000 
0.07620 23.64364 -3329.73252 -3454.38708 4797.96000 690862.42360 -50085.89977 53008.06200 694701.00000 
0.08255 23.67645 -3323.54800 -3470.59886 4805.37000 694104.73450 -50320.96318 52924.96161 697936.00000 
0.08890 23.71299 -3316.54211 -3488.67574 4813.61000 697720.06124 -50583.06981 52830.69631 701543.00000 
0.09525 23.75305 -3308.66133 -3508.58215 4822.65000 701701.28788 -50871.70375 52724.45077 705516.00000 
0.10160 23.79659 -3299.87135 -3530.30417 4832.47000 706045.63282 -51186.66336 52605.71849 709851.00000 
0.10795 23.84351 -3290.12829 -3553.81947 4843.05000 710748.62855 -51527.62475 52473.84505 714543.00000 
0.11430 23.89373 -3279.38695 -3579.10574 4854.37000 715805.81551 -51894.26463 52328.15819 719590.00000 
0.12065 23.94716 -3267.59862 -3606.13828 4866.42000 721212.25310 -52286.22482 52167.93317 724984.00000 
0.12700 24.00371 -3254.71180 -3634.89064 4879.16000 726962.64979 -52703.12172 51992.40456 730723.00000 
0.13335 24.06327 -3240.67213 -3665.33433 4892.57000 733051.31005 -53144.54240 51800.76466 736798.00000 
0.13970 24.12576 -3225.42251 -3697.43886 4906.63000 739472.13350 -53610.04461 51592.16567 743206.00000 
0.14605 24.19106 -3208.90320 -3731.17158 4921.31000 746218.59340 -54099.15521 51365.72070 749938.00000 
0.15240 24.25907 -3191.05178 -3766.49756 4936.59000 753283.70230 -54611.36760 51120.50383 756989.00000 
0.15875 24.32969 -3171.80373 -3803.37998 4952.44000 760660.09766 -55146.14804 50855.55853 764350.00000 
0.16510 24.40280 -3151.08978 -3841.77682 4968.82000 768339.37622 -55702.88732 50569.85613 772014.00000 
0.17145 24.47835 -3128.84941 -3881.65705 4985.74000 776315.32976 -56281.13537 50262.51083 779974.00000 
0.17780 24.55589 -3104.96773 -3922.92194 5003.07000 784568.21351 -56879.46071 49931.76706 788210.00000 
0.18415 24.63683 -3079.56081 -3965.76611 5021.12000 793136.95222 -57500.68540 49579.58767 796763.00000 
0.19050 24.71439 -3051.72465 -4009.06293 5038.47000 801796.22192 -58128.47360 49191.50958 805404.00000 
0.19685 24.81712 -3024.89905 -4057.42312 5060.96000 811468.16346 -58829.68006 48823.11949 815062.00000 
0.20320 24.81948 -2983.81528 -4090.21354 5062.97000 818026.15143 -59305.12636 48227.91324 821590.00000 
0.20955 24.43402 -2894.94882 -4059.20455 4985.83000 811824.25523 -58855.48758 46862.29570 815303.00000 
0.21590 24.09907 -2811.66032 -4036.03763 4918.90000 807190.77516 -58519.55801 45587.66248 810592.00000 
0.22225 23.73802 -2725.10469 -4007.78181 4846.55000 801539.51645 -58109.83963 44260.43544 804861.00000 
0.22860 23.37301 -2638.15340 -3977.91889 4773.28000 795566.84055 -57676.81844 42926.68143 798809.00000 
0.23495 22.99707 -2550.27866 -3945.07322 4697.66000 788997.61634 -57200.54755 41577.35228 792160.00000 
0.24130 22.61196 -2461.95653 -3909.35914 4620.05000 781854.71402 -56682.68510 40219.70093 784938.00000 
0.24765 22.21701 -2373.39092 -3870.50214 4540.29000 774083.23033 -56119.25066 38856.55443 777087.00000 
0.25400 21.81243 -2284.87534 -3828.39050 4458.44000 765660.82354 -55508.62449 37492.20588 768585.00000 
0.26035 21.39828 -2196.68469 -3782.91165 4374.51000 756564.97854 -54849.17429 36130.65437 759411.00000 
0.26670 20.97482 -2109.10668 -3734.00721 4288.54000 746784.01851 -54140.05354 34776.12320 749551.00000 
0.27305 20.54217 -2022.40659 -3681.61624 4200.58000 736305.75779 -53380.37879 33432.48473 738995.00000 
0.27940 20.10137 -1936.92638 -3625.86019 4110.83000 725154.48564 -52571.91104 32104.90466 727766.00000 
0.28575 19.65006 -1852.66828 -3566.26667 4018.83000 713235.72513 -51707.80079 30792.94234 715770.00000 
0.29210 19.20021 -1770.96114 -3504.98318 3927.03000 700978.97259 -50819.18633 29518.25804 703438.00000 
0.29845 18.70590 -1687.80548 -3433.60602 3826.05000 686703.49251 -49784.21505 28213.67877 689084.00000 
0.30480 18.36709 -1621.23695 -3388.91434 3756.79000 677765.11315 -49136.18179 27180.71279 680087.00000 
0.31115 18.41000 -1589.94766 -3413.31577 3765.50000 682645.35896 -49489.99392 26735.63560 684959.00000 
0.31750 18.38721 -1554.01397 -3424.57488 3760.72000 684897.14690 -49653.24418 26210.07541 687195.00000 
0.32385 18.38445 -1520.91083 -3438.59558 3759.98000 687701.25503 -49856.53787 25729.56241 689986.00000 
0.33020 18.37731 -1488.57973 -3450.88110 3758.30000 690158.32968 -50034.67208 25259.36574 692431.00000 
0.33655 18.37257 -1457.60478 -3462.73786 3757.06000 692529.65618 -50206.58991 24809.31164 694790.00000 
0.34290 18.36824 -1427.84211 -3473.83143 3755.87000 694748.34730 -50367.44201 24376.91680 696998.00000 
0.34925 18.36479 -1399.34690 -3484.28659 3754.83000 696839.35980 -50519.03773 23963.07488 699079.00000 
0.35560 18.36201 -1372.11966 -3494.09833 3753.90000 698801.68884 -50661.30417 23567.75116 701032.00000 
0.36195 18.35989 -1346.17527 -3503.29610 3753.08000 700641.22699 -50794.66854 23191.15744 702863.00000 
0.36829 18.35834 -1321.52422 -3511.89821 3752.36000 702361.63547 -50919.39625 22833.43178 704575.00000 
0.37465 18.35732 -1298.17762 -3519.92441 3751.73000 703966.86378 -51035.77361 22494.72454 706173.00000 
0.38099 18.35677 -1276.14583 -3527.39244 3751.18000 705460.45883 -51144.05775 22175.17475 707659.00000 
0.38734 18.35663 -1255.43879 -3534.31893 3750.72000 706845.74665 -51244.48980 21874.91575 709038.00000 
0.39370 18.35686 -1236.06592 -3540.71932 3750.32000 708125.81604 -51337.29368 21594.07417 710313.00000 
0.40004 18.35741 -1218.03598 -3546.60738 3749.98000 709303.42061 -51422.66900 21332.76665 711485.00000 
0.40640 18.35823 -1201.35775 -3551.99737 3749.70000 710381.41253 -51500.82254 21091.11247 712558.00000 
0.41274 18.35926 -1186.03726 -3556.89593 3749.47000 711361.11977 -51571.85055 20869.18496 713533.00000 
0.41909 18.36054 -1172.08805 -3561.33286 3749.30000 712248.50041 -51636.18500 20667.19186 714417.00000 
0.42545 18.36168 -1159.49299 -3565.24528 3749.10000 713030.98061 -51692.91425 20484.80220 715196.00000 
0.43179 18.36402 -1148.34618 -3568.91368 3749.16000 713764.65896 -51746.10546 20323.65364 715926.00000 
0.43815 18.36229 -1138.32513 -3571.32318 3748.40000 714246.55619 -51781.04265 20178.01122 716405.00000 
0.44449 18.37618 -1130.65376 -3576.31627 3750.83000 715245.17078 -51853.44174 20069.56168 717403.00000 
0.45084 18.33174 -1120.80047 -3569.51744 3741.39000 713885.40380 -51754.85894 19917.80785 716036.00000 
0.45719 18.55063 -1128.37862 -3613.54501 3785.67000 722690.91803 -52393.25581 20071.47387 724866.00000 
0.46354 19.09678 -1156.98069 -3720.92500 3896.70000 744166.91629 -53950.25876 20595.43752 746404.00000 
0.46989 19.57743 -1182.59144 -3815.23380 3994.36000 763028.67695 -55317.73035 21062.92814 765321.00000 
0.47624 20.07668 -1210.20976 -3912.87399 4095.80000 782556.71647 -56733.50696 21563.24473 784907.00000 
0.48259 20.56888 -1238.16768 -4008.88863 4195.79000 801759.64553 -58125.71318 22067.07549 804167.00000 
0.48894 21.07139 -1267.37161 -4106.69976 4297.87000 821321.87150 -59543.96832 22591.03589 823787.00000 
0.49529 21.53989 -1294.99914 -4197.71859 4392.99000 839525.64028 -60863.73574 23085.33577 842046.00000 
0.50164 22.13419 -1330.47433 -4313.11920 4513.72000 862605.76403 -62537.03735 23718.58478 865195.00000 
0.50799 22.13619 -1330.47595 -4313.11897 4513.72000 862605.71676 -62537.03392 23719.00951 865195.00000 
0.51434 21.54570 -1295.00391 -4197.71798 4392.99000 839525.51752 -60863.72685 23086.56688 842045.00000 
0.52069 21.08080 -1267.37943 -4106.69886 4297.87000 821321.69170 -59543.95528 22593.03092 823787.00000 
0.52704 20.58163 -1238.17847 -4008.88754 4195.79000 801759.42733 -58125.69736 22069.78180 804167.00000 
0.53339 20.09253 -1210.22343 -3912.87278 4095.80000 782556.47444 -56733.48941 21566.61335 784907.00000 
0.53974 19.59613 -1182.60791 -3815.23254 3994.36000 763028.42498 -55317.71208 21066.90567 765321.00000 
0.54609 19.11808 -1156.99987 -3720.92374 3896.70000 744166.66365 -53950.24044 20599.97626 746404.00000 
0.55244 18.57416 -1128.40041 -3613.54385 3785.67000 722690.68465 -52393.23889 20076.49636 724865.00000 
0.55879 18.35787 -1120.82503 -3569.51613 3741.39000 713885.14261 -51754.84000 19923.38919 716036.00000 
0.56514 18.40533 -1130.68133 -3576.31450 3750.84000 715244.81872 -51853.41621 20075.79269 717403.00000 
0.57149 18.39428 -1138.35569 -3571.32089 3748.40000 714246.09877 -51781.00949 20184.85307 716405.00000 
0.57784 18.39881 -1148.37979 -3568.91071 3749.17000 713764.06521 -51746.06241 20331.09915 715926.00000 
0.58419 18.39916 -1159.52970 -3565.24148 3749.11000 713030.22097 -51692.85918 20492.83224 715195.00000 
0.59054 18.40063 -1172.12789 -3561.32806 3749.30000 712247.54134 -51636.11546 20675.78815 714416.00000 
0.59689 18.40184 -1186.08027 -3556.88996 3749.48000 711359.92546 -51571.76397 20878.32613 713532.00000 
0.60324 18.40319 -1201.40396 -3551.99003 3749.71000 710379.94449 -51500.71610 21100.77503 712557.00000 
0.60959 18.40461 -1218.08542 -3546.59846 3749.99000 709301.63795 -51422.53976 21342.92456 711483.00000 
