Time(s) Force[Z](Revolution:2)-BalanceoCaso3.iaa(N) Force[Y](Revolution:2)-BalanceoCaso3.iaa(N) Force[X](Revolution:2)-BalanceoCaso3.iaa(N) Force(Revolution:2)-BalanceoCaso3.iaa(N) Moment[Z](Revolution:2)-BalanceoCaso3.iaa(N.mm) Moment[Y](Revolution:2)-BalanceoCaso3.iaa(N.mm) Moment[X](Revolution:2)-BalanceoCaso3.iaa(N.mm) Moment(Revolution:2)-BalanceoCaso3.iaa(N.mm) 
0.00000 23.05540 -4403.34000 1168.56000 4555.82000 870409.00000 21551.40000 64032.90000 873027.00000 
0.00910 24.12550 -4607.58000 1222.77000 4767.13000 910783.00000 22551.30000 67003.00000 913523.00000 
0.01820 25.19810 -4811.62000 1276.90000 4978.23000 951132.00000 23550.40000 69970.10000 953993.00000 
0.02731 26.27600 -5015.22000 1330.84000 5188.86000 991423.00000 24548.00000 72930.40000 994404.00000 
0.03641 27.36170 -5218.01000 1384.45000 5398.62000 1031600.00000 25542.40000 75878.20000 1034700.00000 
0.04551 28.45950 -5419.83000 1437.64000 5607.34000 1071650.00000 26533.20000 78810.90000 1074870.00000 
0.05461 29.56790 -5619.43000 1490.04000 5813.70000 1111340.00000 27514.60000 81710.00000 1114680.00000 
0.06371 30.70560 -5819.31000 1542.23000 6020.29000 1151210.00000 28499.00000 84611.50000 1154660.00000 
0.07282 31.81510 -6007.67000 1591.04000 6214.87000 1188920.00000 29428.70000 87343.50000 1192490.00000 
0.08192 31.87070 -5991.12000 1585.22000 6197.37000 1186220.00000 29355.80000 87093.80000 1189770.00000 
0.09102 31.97900 -5979.73000 1580.45000 6185.15000 1184660.00000 29308.70000 86917.40000 1188200.00000 
0.10012 32.08590 -5964.06000 1574.22000 6168.41000 1182360.00000 29240.30000 86676.40000 1185890.00000 
0.10922 32.20060 -5946.66000 1567.22000 6149.79000 1179830.00000 29162.10000 86408.10000 1183350.00000 
0.11832 32.31460 -5926.89000 1559.25000 6128.65000 1176930.00000 29070.00000 86103.10000 1180440.00000 
0.12743 32.42340 -5904.95000 1550.40000 6105.18000 1173700.00000 28963.80000 85764.40000 1177190.00000 
0.13653 32.52079 -5880.86000 1540.64000 6079.40000 1170130.00000 28842.20000 85391.90000 1173600.00000 
0.14563 32.60030 -5854.64000 1529.98000 6051.34000 1166220.00000 28704.10000 84986.30000 1169670.00000 
0.15473 32.65500 -5826.36000 1518.45000 6021.07000 1161970.00000 28548.20000 84548.30000 1165390.00000 
0.16383 32.67740 -5796.06000 1506.05000 5988.61000 1157380.00000 28373.10000 84078.60000 1160770.00000 
0.17294 32.65990 -5763.78000 1492.78000 5954.04000 1152440.00000 28177.30000 83578.00000 1155810.00000 
0.18204 32.59410 -5729.58000 1478.67000 5917.40000 1147170.00000 27959.50000 83047.40000 1150510.00000 
0.19114 32.47180 -5693.51000 1463.72000 5878.74000 1141550.00000 27718.00000 82487.90000 1144860.00000 
0.20024 32.28420 -5655.64000 1447.95000 5838.14000 1135590.00000 27451.20000 81900.40000 1138870.00000 
0.20934 32.02240 -5616.01000 1431.36000 5795.64000 1129290.00000 27157.70000 81286.20000 1132530.00000 
0.21845 31.67728 -5574.69000 1413.98000 5751.31000 1122640.00000 26835.60000 80646.40000 1125850.00000 
0.22755 31.23980 -5531.75000 1395.83000 5705.22000 1115650.00000 26483.40000 79982.60000 1118820.00000 
0.23665 30.70043 -5487.22000 1376.90000 5657.41000 1108310.00000 26099.30000 79295.90000 1111450.00000 
0.24575 30.05039 -5441.23000 1357.23000 5608.02000 1100630.00000 25682.10000 78588.70000 1103730.00000 
0.25485 29.27910 -5393.61000 1336.78000 5556.88000 1092570.00000 25229.00000 77859.50000 1095630.00000 
0.26395 28.38200 -5345.29000 1315.78000 5504.93000 1084300.00000 24742.50000 77122.30000 1087320.00000 
0.27306 27.33340 -5293.14000 1293.47000 5448.96000 1075170.00000 24206.30000 76333.10000 1078150.00000 
0.28216 26.18450 -5249.02000 1272.73000 5401.18000 1067580.00000 23672.70000 75664.00000 1070520.00000 
0.29126 24.70600 -5168.04000 1242.72000 5315.41000 1052370.00000 22938.80000 74469.00000 1055250.00000 
0.30036 22.37920 -4931.81000 1175.45000 5070.00000 1005380.00000 21495.80000 71044.60000 1008120.00000 
0.30946 20.09900 -4719.91000 1114.43000 4849.73000 963147.00000 20153.10000 67979.70000 965754.00000 
0.31857 17.77130 -4509.02000 1054.13000 4630.63000 920912.00000 18812.00000 64938.80000 923390.00000 
0.32767 15.44020 -4305.88000 996.20166 4419.64000 880061.00000 17505.20000 62019.30000 882418.00000 
0.33677 13.11610 -4109.20000 940.37900 4215.45000 840341.00000 16231.40000 59202.40000 842580.00000 
0.34587 10.81760 -3919.72000 886.86700 4018.81000 801916.00000 14997.10000 56498.50000 804044.00000 
0.35497 8.56059 -3737.56000 835.71400 3829.86000 764826.00000 13806.50000 53908.90000 766848.00000 
0.36408 6.36074 -3562.92000 786.97900 3648.80000 729129.00000 12663.60000 51435.80000 731050.00000 
0.37318 4.23229 -3395.89000 740.68900 3475.73000 694861.00000 11571.70000 49079.70000 696688.00000 
0.38228 2.18815 -3236.53000 696.85500 3310.70000 662053.00000 10533.50000 46840.50000 663792.00000 
0.39138 0.23964 -3084.73000 655.44500 3153.60000 630702.00000 9550.84000 44715.50000 632357.00000 
0.40048 -1.60348 -2940.69000 616.48400 3004.62000 600863.00000 8625.95000 42706.40000 602440.00000 
0.40959 -3.33208 -2803.19000 579.69900 2862.50000 572306.00000 7756.58000 40794.10000 573811.00000 
0.41869 -4.94478 -2675.85000 545.81200 2730.95000 545788.00000 6953.35000 39030.40000 547226.00000 
0.42779 -6.40617 -2544.18000 511.85300 2595.17000 518369.00000 6179.96000 37202.50000 519739.00000 
0.43689 -7.86696 -2463.46000 488.85730 2511.51000 501320.00000 5567.05000 36118.20000 502650.00000 
0.44599 -9.65734 -2495.52000 488.53400 2542.91000 507184.00000 5220.66000 36691.30000 508536.00000 
0.45510 -11.40650 -2510.22000 484.84600 2556.64000 509466.00000 4835.10000 37015.90000 510832.00000 
