Time(s) Force[Z](Spherical:9)-ArfadaCaso1.iaa(N) Force[Y](Spherical:9)-ArfadaCaso1.iaa(N) Force[X](Spherical:9)-ArfadaCaso1.iaa(N) Force(Spherical:9)-ArfadaCaso1.iaa(N) Moment[Z](Spherical:9)-ArfadaCaso1.iaa(N.mm) Moment[Y](Spherical:9)-ArfadaCaso1.iaa(N.mm) Moment[X](Spherical:9)-ArfadaCaso1.iaa(N.mm) Moment(Spherical:9)-ArfadaCaso1.iaa(N.mm) 
0.00000 -771.08649 1.30291 324.88638 836.73600 -0.00000 0.00005 -0.00000 0.00005 
0.00402 -820.22024 1.38591 345.57442 890.04800 -0.00000 0.00000 0.00000 0.00000 
0.00803 -869.44842 1.46905 366.25191 943.44220 -0.00000 0.00000 0.00000 0.00000 
0.01205 -918.79354 1.55231 386.86771 996.92100 -0.00000 0.00000 0.00000 0.00000 
0.01606 -968.25646 1.63567 407.35033 1050.46000 -0.00000 0.00000 0.00000 0.00000 
0.02008 -1017.92498 1.71921 427.65356 1104.11000 -0.00000 0.00000 0.00000 0.00000 
0.02410 -1067.55944 1.80248 447.58239 1157.59000 -0.00000 0.00000 0.00000 0.00000 
0.02811 -1118.17896 1.88713 467.45795 1211.96000 -0.00000 0.00000 0.00000 0.00000 
0.03213 -1165.92195 1.96658 485.55120 1262.99000 -0.00000 0.00000 0.00000 0.00000 
0.03614 -1164.58210 1.96291 482.62072 1260.63000 -0.00000 0.00000 0.00000 0.00000 
0.04016 -1165.86512 1.96335 480.25652 1260.91000 -0.00000 0.00000 0.00000 0.00000 
0.04418 -1166.57616 1.96253 477.13267 1260.38000 -0.00000 0.00000 0.00000 0.00000 
0.04819 -1167.61189 1.96196 473.61968 1260.01000 -0.00000 0.00000 0.00000 0.00000 
0.05221 -1168.71443 1.96122 469.61220 1259.54000 -0.00000 0.00000 0.00000 0.00000 
0.05622 -1169.95334 1.96043 465.13895 1259.03000 -0.00000 0.00000 0.00000 0.00000 
0.06024 -1171.30412 1.95956 460.19046 1258.46000 -0.00000 0.00000 0.00000 0.00000 
0.06426 -1172.76870 1.95861 454.76795 1257.86000 -0.00000 0.00000 0.00000 0.00000 
0.06827 -1174.34078 1.95760 448.86935 1257.20000 -0.00000 0.00000 0.00000 0.00000 
0.07229 -1176.01588 1.95653 442.49330 1256.51000 -0.00000 0.00000 0.00000 0.00000 
0.07630 -1177.78831 1.95539 435.63800 1255.77000 -0.00000 0.00000 0.00000 0.00000 
0.08032 -1179.65212 1.95419 428.30150 1255.00000 -0.00000 0.00000 0.00000 0.00000 
0.08434 -1181.60069 1.95293 420.48162 1254.19000 -0.00000 0.00000 0.00000 0.00000 
0.08835 -1183.62694 1.95162 412.17594 1253.34000 -0.00000 0.00000 0.00000 0.00000 
0.09237 -1185.72305 1.95025 403.38178 1252.46000 -0.00000 0.00000 0.00000 0.00000 
0.09638 -1187.88089 1.94884 394.09631 1251.55000 -0.00000 0.00000 0.00000 0.00000 
0.10040 -1190.09086 1.94738 384.31614 1250.61000 -0.00000 0.00000 0.00000 0.00000 
