Time(s) Force(Spherical:5)-ArfadaCaso1.iaa(N) Force[X](Spherical:5)-ArfadaCaso1.iaa(N) Force[Y](Spherical:5)-ArfadaCaso1.iaa(N) Force[Z](Spherical:5)-ArfadaCaso1.iaa(N) Moment(Spherical:5)-ArfadaCaso1.iaa(N.mm) Moment[X](Spherical:5)-ArfadaCaso1.iaa(N.mm) Moment[Y](Spherical:5)-ArfadaCaso1.iaa(N.mm) Moment[Z](Spherical:5)-ArfadaCaso1.iaa(N.mm) 
0.00000 771.36200 299.48057 1.20099 -710.85101 0.00000 0.00000 0.00000 0.00000 
0.00402 820.56100 318.57091 1.27758 -756.19529 0.00000 0.00000 0.00000 0.00000 
0.00803 869.84300 337.65399 1.35431 -801.63247 0.00000 0.00000 0.00000 0.00000 
0.01205 919.20813 356.68253 1.43116 -847.18304 0.00000 0.00000 0.00000 0.00000 
0.01606 968.63100 375.59019 1.50810 -892.84684 0.00000 0.00000 0.00000 0.00000 
0.02008 1018.17000 394.33451 1.58523 -938.70525 0.00000 0.00000 0.00000 0.00000 
0.02410 1067.55000 412.73300 1.66210 -984.53101 0.00000 0.00000 0.00000 0.00000 
0.02811 1117.76000 431.09011 1.74028 -1031.28396 0.00000 0.00000 0.00000 0.00000 
0.03213 1164.82000 447.77261 1.81354 -1075.31016 0.00000 0.00000 0.00000 0.00000 
0.03614 1162.57000 445.04462 1.81004 -1074.01304 0.00000 0.00000 0.00000 0.00000 
0.04016 1162.82000 442.85919 1.81043 -1075.18350 0.00000 0.00000 0.00000 0.00000 
0.04418 1162.29000 439.96465 1.80962 -1075.80532 0.00000 0.00000 0.00000 0.00000 
0.04819 1161.92000 436.71189 1.80904 -1076.72752 0.00000 0.00000 0.00000 0.00000 
0.05221 1161.44000 433.00101 1.80829 -1077.70542 0.00000 0.00000 0.00000 0.00000 
0.05622 1160.92000 428.85955 1.80749 -1078.80550 0.00000 0.00000 0.00000 0.00000 
0.06024 1160.36000 424.27867 1.80661 -1080.00458 0.00000 0.00000 0.00000 0.00000 
0.06426 1159.74000 419.25971 1.80566 -1081.30479 0.00000 0.00000 0.00000 0.00000 
0.06827 1159.08000 413.80094 1.80464 -1082.70042 0.00000 0.00000 0.00000 0.00000 
0.07229 1158.38000 407.90130 1.80355 -1084.18749 0.00000 0.00000 0.00000 0.00000 
0.07630 1157.64000 401.55932 1.80240 -1085.76093 0.00000 0.00000 0.00000 0.00000 
0.08032 1156.86000 394.77340 1.80119 -1087.41541 0.00000 0.00000 0.00000 0.00000 
0.08434 1156.04000 387.54173 1.79993 -1089.14502 0.00000 0.00000 0.00000 0.00000 
0.08835 1155.19000 379.86231 1.79860 -1090.94339 0.00000 0.00000 0.00000 0.00000 
0.09237 1154.30000 371.73287 1.79723 -1092.80350 0.00000 0.00000 0.00000 0.00000 
0.09638 1153.38000 363.15101 1.79581 -1094.71809 0.00000 0.00000 0.00000 0.00000 
0.10040 1152.43000 354.11378 1.79434 -1096.67834 0.00000 0.00000 0.00000 0.00000 
0.10442 1151.46000 344.61871 1.79283 -1098.67703 0.00000 0.00000 0.00000 0.00000 
0.10843 1150.46000 334.66211 1.79128 -1100.70333 0.00000 0.00000 0.00000 0.00000 
0.11245 1149.42000 324.23716 1.78967 -1102.73571 0.00000 0.00000 0.00000 0.00000 
0.11646 1148.45000 313.37027 1.78818 -1104.86861 0.00000 0.00000 0.00000 0.00000 
0.12048 1146.90000 301.88269 1.78578 -1106.46039 0.00000 0.00000 0.00000 0.00000 
0.12450 1148.13000 290.63527 1.78771 -1110.73741 0.00000 0.00000 0.00000 0.00000 
0.12851 1135.74000 275.55792 1.76842 -1101.80463 0.00000 0.00000 0.00000 0.00000 
0.13253 1080.18000 250.26320 1.68193 -1050.79202 0.00000 0.00000 0.00000 0.00000 
0.13654 1033.25000 227.68561 1.60886 -1007.85148 0.00000 0.00000 0.00000 0.00000 
0.14056 983.99000 205.34383 1.53218 -962.32466 0.00000 0.00000 0.00000 0.00000 
0.14458 935.81900 184.08441 1.45718 -917.53393 0.00000 0.00000 0.00000 0.00000 
