Time(s) Force[Z](Revolution:2)-CabeceoCaso3.iaa(N) Force[Y](Revolution:2)-CabeceoCaso3.iaa(N) Force[X](Revolution:2)-CabeceoCaso3.iaa(N) Force(Revolution:2)-CabeceoCaso3.iaa(N) Moment[Z](Revolution:2)-CabeceoCaso3.iaa(N.mm) Moment[Y](Revolution:2)-CabeceoCaso3.iaa(N.mm) Moment[X](Revolution:2)-CabeceoCaso3.iaa(N.mm) Moment(Revolution:2)-CabeceoCaso3.iaa(N.mm) 
0.00000 22.23612 -1340.56364 -4345.91577 4548.03000 869165.09664 -63012.57782 23885.26565 871774.00000 
0.01532 23.42454 -1412.17910 -4578.12491 4791.04000 915606.90705 -66379.61746 25161.37569 918355.00000 
0.03064 24.60964 -1483.37627 -4809.64834 5033.26000 961911.59152 -69736.70641 26430.75304 964798.00000 
0.04596 25.78802 -1553.69772 -5039.78862 5273.91000 1007939.64809 -73073.73983 27686.09040 1010960.00000 
0.06128 26.95570 -1622.61015 -5267.72483 5512.03000 1053526.88963 -76378.81416 28918.85810 1056690.00000 
0.07660 28.11013 -1689.62886 -5492.91021 5746.97000 1098563.96662 -79644.00155 30121.51603 1101860.00000 
0.09192 29.24263 -1753.86835 -5713.60211 5976.80000 1142702.34736 -82844.03345 31279.49089 1146130.00000 
0.10724 30.36657 -1815.73385 -5932.35998 6204.09000 1186453.92047 -86016.02178 32401.32978 1190010.00000 
0.12257 31.41230 -1870.64849 -6135.53516 6414.44000 1227088.95469 -88962.06105 33406.74092 1230760.00000 
0.13789 31.24839 -1851.24091 -6102.18610 6376.89000 1220419.14305 -88478.49964 33092.55426 1224070.00000 
0.15321 31.09970 -1830.75255 -6071.57813 6341.66000 1214297.54830 -88034.68392 32765.73841 1217930.00000 
0.16853 30.91108 -1805.99892 -6032.98182 6297.58000 1206578.28555 -87475.03726 32369.09168 1210180.00000 
0.18385 30.69749 -1777.96413 -5989.35803 6247.76000 1197853.52531 -86842.49202 31919.87579 1201420.00000 
0.19917 30.45516 -1746.54142 -5940.01344 6191.53000 1187984.60698 -86126.99532 31415.78811 1191520.00000 
0.21449 30.18537 -1711.93061 -5885.24026 6129.25000 1177029.96863 -85332.78391 30859.97966 1180520.00000 
0.22981 29.88804 -1674.26550 -5825.07298 6060.98000 1164996.51191 -84460.35817 30254.37964 1168450.00000 
0.24513 29.56352 -1633.71124 -5759.61905 5986.91000 1151905.72472 -83511.27596 29601.44731 1155310.00000 
0.26045 29.21204 -1590.43706 -5688.96849 5907.17000 1137775.61200 -82486.84267 28903.68531 1141130.00000 
0.27577 28.83388 -1544.62204 -5613.21617 5821.93000 1122625.14606 -81388.43379 28163.74713 1125920.00000 
0.29109 28.42934 -1496.45221 -5532.45399 5731.34000 1106472.70939 -80217.38204 27384.38787 1109710.00000 
0.30642 27.99871 -1446.11995 -5446.77124 5635.54000 1089336.15829 -78974.98202 26568.45744 1092520.00000 
0.32174 27.54231 -1393.82299 -5356.25288 5534.70000 1071232.48706 -77662.46582 25718.88416 1074350.00000 
0.33706 27.06044 -1339.76346 -5260.97837 5428.96000 1052177.58434 -76280.98537 24838.66135 1055230.00000 
0.35238 26.55342 -1284.14735 -5161.02118 5318.45000 1032186.14751 -74831.60624 23930.83858 1035170.00000 
0.36770 26.02155 -1227.18323 -5056.44549 5203.30000 1011271.01060 -73315.25890 22998.50003 1014190.00000 
0.38302 25.46515 -1169.08388 -4947.31443 5083.63000 989444.79829 -71732.85865 22044.79700 992287.00000 
