Time(s) Force(Revolution:2)-ArfadaCaso1.iaa(N) Force[X](Revolution:2)-ArfadaCaso1.iaa(N) Force[Y](Revolution:2)-ArfadaCaso1.iaa(N) Force[Z](Revolution:2)-ArfadaCaso1.iaa(N) Moment(Revolution:2)-ArfadaCaso1.iaa(N.mm) Moment[X](Revolution:2)-ArfadaCaso1.iaa(N.mm) Moment[Y](Revolution:2)-ArfadaCaso1.iaa(N.mm) Moment[Z](Revolution:2)-ArfadaCaso1.iaa(N.mm) 
0.00000 836.90000 -771.25281 -324.91427 1.30291 154717.00000 4971.30988 -11180.01397 154232.72001 
0.00402 890.21700 -820.39176 -345.60231 1.38591 164576.00000 5287.88746 -11892.51303 164060.51426 
0.00803 943.61600 -869.62513 -366.27978 1.46905 174454.00000 5604.33797 -12606.38108 173907.19137 
0.01205 997.09900 -918.97545 -386.89556 1.55231 184355.00000 5919.92034 -13321.94488 183777.25867 
0.01606 1050.64000 -968.44356 -407.37814 1.63567 194279.00000 6233.58952 -14039.21668 193670.88484 
0.02008 1104.30000 -1018.11728 -427.68131 1.71921 204245.00000 6544.69542 -14759.46962 203605.63089 
0.02410 1157.78000 -1067.75691 -447.61005 1.80248 214203.00000 6850.31812 -15479.22821 213533.55821 
0.02811 1212.16000 -1118.38165 -467.48550 1.88713 224360.00000 7155.44606 -16213.27071 223658.50807 
0.03213 1263.19000 -1166.12962 -485.57862 1.96658 233938.00000 7433.69088 -16905.60048 233208.10051 
0.03614 1260.83000 -1164.78957 -482.64798 1.96291 233668.00000 7390.46671 -16886.16959 232940.08574 
0.04016 1261.11000 -1166.07258 -480.28358 1.96335 233924.00000 7356.27825 -16904.77227 233196.68082 
0.04418 1260.58000 -1166.78356 -477.15950 1.96253 234065.00000 7310.82295 -16915.08049 233338.86802 
0.04819 1260.22000 -1167.81922 -473.64625 1.96196 234271.00000 7259.77640 -16930.09652 233545.99189 
0.05221 1259.74000 -1168.92168 -469.63846 1.96122 234491.00000 7201.52560 -16946.08095 233766.47349 
0.05622 1259.23000 -1170.16050 -465.16487 1.96043 234737.00000 7136.51189 -16964.04269 234014.22880 
0.06024 1258.67000 -1171.51120 -460.21601 1.95956 235005.00000 7064.59168 -16983.62635 234284.35600 
0.06426 1258.06000 -1172.97567 -454.79308 1.95861 235297.00000 6985.78479 -17004.85975 234577.23853 
0.06827 1257.41000 -1174.54765 -448.89402 1.95760 235609.00000 6900.06139 -17027.65198 234891.62231 
0.07229 1256.71000 -1176.22263 -442.51748 1.95653 235942.00000 6807.40252 -17051.93761 235226.60506 
0.07630 1255.98000 -1177.99495 -435.66165 1.95539 236294.00000 6707.78245 -17077.63463 235581.05527 
0.08032 1255.20000 -1179.85863 -428.32459 1.95419 236665.00000 6601.17364 -17104.65640 235953.77779 
0.08434 1254.39000 -1181.80707 -420.50410 1.95293 237052.00000 6487.54485 -17132.90732 236343.45386 
0.08835 1253.54000 -1183.83318 -412.19777 1.95162 237455.00000 6366.86180 -17162.28439 236748.66272 
0.09237 1252.66000 -1185.92915 -403.40293 1.95025 237872.00000 6239.08604 -17192.67446 237167.84349 
0.09638 1251.75000 -1188.08686 -394.11673 1.94884 238301.00000 6104.17704 -17223.95974 237599.37147 
0.10040 1250.81000 -1190.29667 -384.33578 1.94738 238740.00000 5962.08606 -17256.00075 238041.32238 
0.10442 1249.84000 -1192.55007 -374.05704 1.94588 239188.00000 5812.76949 -17288.67392 238491.99187 
0.10843 1248.84000 -1194.83658 -363.27670 1.94434 239643.00000 5656.17298 -17321.82725 238949.28313 
0.11245 1247.80000 -1197.12853 -351.98594 1.94273 240099.00000 5492.16330 -17355.05970 239407.66418 
0.11646 1246.85000 -1199.53828 -340.21615 1.94126 240578.00000 5321.23638 -17390.00041 239889.60690 
0.12048 1245.26000 -1201.35145 -327.76800 1.93879 240938.00000 5140.27549 -17416.29100 240252.23287 
0.12450 1246.67000 -1206.06222 -315.57410 1.94099 241878.00000 4963.93450 -17484.59650 241194.38412 
0.12851 1233.59000 -1196.73049 -299.29535 1.92063 240003.00000 4723.85397 -17349.28900 239328.03470 
0.13253 1173.55000 -1141.61773 -271.89159 1.82716 228945.00000 4307.83832 -16550.17064 228305.47945 
0.13654 1122.59000 -1094.99397 -247.36878 1.74783 219591.00000 3936.42614 -15874.14123 218980.72577 
0.14056 1069.18000 -1045.63628 -223.11758 1.66467 209688.00000 3568.18929 -15158.47047 209109.18816 
0.14458 1016.89000 -997.01826 -200.02747 1.58327 199935.00000 3217.13834 -14453.52510 199385.58758 
0.14859 964.61500 -948.05846 -177.94552 1.50188 190113.00000 2880.71187 -13743.62429 189593.63429 
0.15261 912.67100 -899.06333 -157.00708 1.42101 180285.00000 2560.96871 -13033.21148 179794.61752 
0.15663 860.94100 -849.92881 -137.25544 1.34047 170429.00000 2258.50095 -12320.77798 169967.72729 
0.16064 809.43500 -800.67560 -118.74839 1.26028 160549.00000 1974.14917 -11606.62374 160117.10044 
0.16466 758.12100 -751.29061 -101.52882 1.18038 150644.00000 1708.52576 -10890.55900 150240.11939 
0.16867 706.98400 -701.77778 -85.63328 1.10076 140713.00000 1462.15542 -10172.64110 140337.57491 
0.17269 655.98200 -652.11802 -71.08657 1.02134 130754.00000 1235.38439 -9452.59305 130405.64617 
0.17671 605.16900 -602.39046 -57.91487 0.94222 120781.00000 1028.60924 -8731.56219 120460.15899 
0.18072 554.19220 -552.27101 -46.09765 0.86284 110729.00000 841.42221 -8004.84934 110436.29522 
0.18474 504.34900 -503.08057 -35.73821 0.78522 100864.00000 675.72488 -7291.60716 100598.23564 
0.18875 450.38200 -449.60257 -26.48058 0.70118 90140.00000 524.71832 -6516.19695 89902.66647 
0.19277 414.00800 -413.54903 -19.47787 0.64453 82909.90000 411.88595 -5993.43678 82691.99121 
0.19679 420.34200 -420.07452 -14.99217 0.65438 84218.20000 348.84969 -6088.06051 83997.12373 
0.20080 419.47900 -419.35122 -10.34183 0.65303 84072.90000 281.18344 -6077.57909 83852.50135 
0.20482 420.55900 -420.51690 -5.89537 0.65471 84306.50000 217.07853 -6094.48741 84085.67409 
0.20883 421.07900 -421.07565 -1.58455 0.65552 84418.50000 154.76581 -6102.59545 84197.45765 
0.21285 421.71700 -421.70853 2.57459 0.65648 84545.30000 94.67612 -6111.77838 84324.07063 
0.21687 422.29100 -422.23935 6.57983 0.65736 84651.80000 36.80514 -6119.48228 84430.27137 
0.22088 422.85000 -422.72051 10.42781 0.65820 84748.30000 -18.79618 -6126.46453 84526.53955 
0.22490 423.38000 -423.14396 14.11505 0.65898 84833.30000 -72.07804 -6132.61068 84611.26434 
0.22891 423.88500 -423.51726 17.63841 0.65973 84908.20000 -122.99318 -6138.02956 84685.95829 
0.23293 424.36400 -423.84376 20.99482 0.66043 84973.80000 -171.49700 -6142.76975 84751.29172 
