Hora(s) Fuerza[X](Revolución:2)-ArfadaCaso3.iaa(N) Fuerza[Y](Revolución:2)-ArfadaCaso3.iaa(N) Fuerza[X](Revolución:3)-ArfadaCaso3.iaa(N) Fuerza[Y](Revolución:3)-ArfadaCaso3.iaa(N) 
0.00000 -2953.98794 -2924.75813 3357.18469 1028.47936 
0.00635 -3008.55267 -2978.71654 3426.17608 1049.58157 
0.01270 -3063.35320 -3032.61312 3495.28159 1070.53068 
0.01905 -3118.61620 -3086.35780 3564.58642 1091.15122 
0.02540 -3174.57493 -3139.84590 3634.15724 1111.24712 
0.03175 -3231.57512 -3193.06254 3704.17350 1130.64183 
0.03810 -3289.67364 -3245.68566 3774.43048 1149.02638 
0.04445 -3350.15784 -3298.58370 3846.21436 1166.52978 
0.05080 -3409.74284 -3348.10341 3915.16752 1181.55554 
0.05715 -3416.55663 -3343.14730 3915.89183 1174.26196 
0.06350 -3427.65681 -3339.80175 3920.19060 1166.37624 
0.06985 -3439.99059 -3335.06514 3924.31338 1156.76679 
0.07620 -3454.38708 -3329.73252 3929.26920 1145.72915 
0.08255 -3470.59886 -3323.54800 3934.75473 1133.16740 
0.08890 -3488.67574 -3316.54211 3940.82600 1119.09103 
0.09525 -3508.58215 -3308.66133 3947.43617 1103.47883 
0.10160 -3530.30417 -3299.87135 3954.56388 1086.31644 
0.10795 -3553.81947 -3290.12829 3962.17757 1067.58603 
0.11430 -3579.10574 -3279.38695 3970.24544 1047.26931 
0.12065 -3606.13828 -3267.59862 3978.73268 1025.34675 
0.12700 -3634.89064 -3254.71180 3987.60229 1001.79788 
0.13335 -3665.33433 -3240.67213 3996.81480 976.60134 
0.13970 -3697.43886 -3225.42251 4006.32835 949.73491 
0.14605 -3731.17158 -3208.90320 4016.09860 921.17562 
0.15240 -3766.49756 -3191.05178 4026.07857 890.89977 
0.15875 -3803.37998 -3171.80373 4036.21945 858.88319 
0.16510 -3841.77682 -3151.08978 4046.46595 825.10033 
0.17145 -3881.65705 -3128.84941 4056.77749 789.52866 
0.17780 -3922.92194 -3104.96773 4067.03223 752.13019 
0.18415 -3965.76611 -3079.56081 4077.44662 712.92875 
0.19050 -4009.06293 -3051.72465 4086.77220 671.69621 
0.19685 -4057.42312 -3024.89905 4099.92522 629.20173 
0.20320 -4090.21354 -2983.81528 4095.43902 582.24155 
0.20955 -4059.20455 -2894.94882 4023.59235 524.97761 
0.21590 -4036.03763 -2811.66032 3960.81367 469.07502 
0.22225 -4007.78181 -2725.10469 3894.24331 413.09006 
0.22860 -3977.91889 -2638.15340 3827.59867 357.74738 
0.23495 -3945.07322 -2550.27866 3759.76848 303.18308 
0.24130 -3909.35914 -2461.95653 3691.06832 249.67455 
0.24765 -3870.50214 -2373.39092 3621.42351 197.44989 
0.25400 -3828.39050 -2284.87534 3550.89211 146.73537 
0.26035 -3782.91165 -2196.68469 3479.51099 97.74263 
