Hora(s) Fuerza[X](Revolución:2)-BalanceoCaso3.iaa(N) Fuerza[Y](Revolución:2)-BalanceoCaso3.iaa(N) Fuerza[X](Revolución:3)-BalanceoCaso3.iaa(N) Fuerza[Y](Revolución:3)-BalanceoCaso3.iaa(N) 
0.00000 -4352.13298 -1346.80329 3519.21239 -837.07130 
0.00910 -4554.00572 -1409.24630 3422.97351 -814.15212 
0.01820 -4755.74865 -1471.38712 3326.74368 -791.03473 
0.02731 -4957.20334 -1532.87465 3230.45948 -767.52514 
0.03641 -5158.08578 -1593.27560 3134.02044 -743.44434 
0.04551 -5358.33151 -1652.18187 3037.12544 -718.58996 
0.05461 -5556.81216 -1708.81611 2939.88728 -692.88265 
0.06371 -5756.12189 -1763.50539 2840.53639 -665.82674 
0.07282 -5944.70037 -1812.20738 2744.03237 -638.52953 
0.08192 -5931.18096 -1796.52029 2743.04946 -632.32921 
0.09102 -5923.37878 -1780.06615 2737.65307 -623.82296 
0.10012 -5911.89620 -1760.02286 2732.40858 -614.08752 
0.10922 -5899.24761 -1737.18453 2726.10129 -602.86998 
0.11832 -5884.75945 -1711.39151 2719.07602 -590.27627 
0.12743 -5868.61086 -1682.74338 2711.25941 -576.32120 
0.13653 -5850.75267 -1651.27732 2702.69336 -561.04778 
0.14563 -5831.19650 -1617.05294 2693.39097 -544.49517 
0.15473 -5809.93743 -1580.12968 2683.37550 -526.70679 
0.16383 -5786.97467 -1540.57247 2672.66985 -507.72776 
0.17294 -5762.30600 -1498.45005 2661.29934 -487.60510 
0.18204 -5735.92921 -1453.83507 2649.29104 -466.38729 
0.19114 -5707.84180 -1406.80387 2636.67384 -444.12384 
0.20024 -5678.04087 -1357.43619 2623.47857 -420.86502 
0.20934 -5646.52366 -1305.81508 2609.73759 -396.66133 
0.21845 -5613.28556 -1252.02625 2595.48607 -371.56336 
0.22755 -5578.32755 -1196.15949 2580.75726 -345.62073 
0.23665 -5541.62850 -1138.30250 2565.60015 -318.88405 
0.24575 -5503.24797 -1078.56186 2550.01243 -291.39618 
0.25485 -5462.94510 -1016.98791 2534.19464 -263.22100 
0.26395 -5421.59060 -953.83816 2517.58532 -234.34258 
0.27306 -5375.93822 -888.65440 2502.52340 -205.00651 
0.28216 -5337.97476 -823.47209 2480.34292 -174.57723 
0.29126 -5261.95526 -751.53751 2485.23737 -145.32934 
0.30036 -5027.01064 -658.47433 2616.17885 -120.89938 
0.30946 -4815.82656 -572.12184 2739.26547 -92.16381 
0.31857 -4604.64793 -489.52897 2873.32544 -59.85011 
0.32767 -4400.39637 -411.74308 3013.49936 -23.55531 
0.33677 -4201.79445 -338.74933 3161.28661 16.89071 
0.34587 -4009.66918 -270.69429 3316.35601 61.68383 
0.35497 -3824.21814 -207.60402 3478.78224 110.99337 
0.36408 -3645.73244 -149.45851 3648.43751 164.95783 
0.37318 -3474.39306 -96.18344 3825.16990 223.67828 
0.38228 -3310.35370 -47.66246 4008.72467 287.20738 
0.39138 -3153.59588 -3.74245 4198.89798 355.55201 
0.40048 -3004.40294 35.75708 4395.01291 428.62181 
0.40959 -2861.61935 71.01700 4597.90217 506.41420 
0.41869 -2729.02541 102.36186 4802.43728 588.18984 
0.42779 -2591.93223 129.39971 5025.73671 675.90293 
0.43689 -2506.68622 155.43314 5196.13905 759.28272 
0.44599 -2536.00812 186.95289 5223.19955 821.89241 
0.45510 -2547.41562 216.68140 5271.14891 886.49368 
