Hora(s) Fuerza[X](Revolución:2)-CabeceoCaso3.iaa(N) Fuerza[Y](Revolución:2)-CabeceoCaso3.iaa(N) Fuerza[X](Revolución:3)-CabeceoCaso3.iaa(N) Fuerza[Y](Revolución:3)-CabeceoCaso3.iaa(N) 
0.00000 -4345.91577 -1340.56364 3517.95152 -833.52032 
0.01532 -4578.12491 -1412.17910 3724.91546 -882.55855 
0.03064 -4809.64834 -1483.37627 3931.23917 -931.56642 
0.04596 -5039.78862 -1553.69772 4136.29728 -980.53986 
0.06128 -5267.72483 -1622.61015 4339.38090 -1029.47941 
0.07660 -5492.91021 -1689.62886 4540.05135 -1078.47328 
0.09192 -5713.60211 -1753.86835 4736.82852 -1127.38466 
0.10724 -5932.35998 -1815.73385 4932.08963 -1177.01612 
0.12257 -6135.53516 -1870.64849 5113.77880 -1224.74317 
0.13789 -6102.18610 -1851.24091 5084.69514 -1223.34673 
0.15321 -6071.57813 -1830.75255 5058.14736 -1223.73360 
0.16853 -6032.98182 -1805.99892 5024.53827 -1223.56403 
0.18385 -5989.35803 -1777.96413 4986.47582 -1223.42644 
0.19917 -5940.01344 -1746.54142 4943.30518 -1223.11418 
0.21449 -5885.24026 -1711.93061 4895.24886 -1222.62758 
0.22981 -5825.07298 -1674.26550 4842.29795 -1221.90381 
0.24513 -5759.61905 -1633.71124 4784.50824 -1220.88952 
0.26045 -5688.96849 -1590.43706 4721.92031 -1219.52098 
0.27577 -5613.21617 -1544.62204 4654.58037 -1217.72920 
0.29109 -5532.45399 -1496.45221 4582.53402 -1215.43833 
0.30642 -5446.77124 -1446.11995 4505.82740 -1212.56578 
0.32174 -5356.25288 -1393.82299 4424.50639 -1209.02201 
0.33706 -5260.97837 -1339.76346 4338.61624 -1204.71020 
0.35238 -5161.02118 -1284.14735 4248.20173 -1199.52628 
0.36770 -5056.44549 -1227.18323 4153.30478 -1193.35806 
0.38302 -4947.31443 -1169.08388 4053.97238 -1186.08736 
0.39834 -4833.65556 -1110.05784 3950.22571 -1177.58087 
0.41366 -4715.58618 -1050.33807 3842.17420 -1167.72392 
0.42898 -4592.84423 -990.07707 3729.59001 -1156.29112 
0.44430 -4466.53300 -929.72365 3613.49219 -1143.43680 
0.45962 -4332.62054 -868.66713 3490.24472 -1127.82920 
0.47494 -4206.15746 -810.10337 3373.54579 -1113.74828 
0.49027 -4029.24693 -743.28404 3210.87038 -1083.51713 
0.50559 -3643.57474 -641.72444 2858.09287 -986.23875 
0.52091 -3279.34782 -549.62013 2523.94678 -890.84850 
0.53623 -2905.95265 -461.86566 2180.88232 -787.49937 
0.55155 -2532.00277 -380.24452 1836.88857 -678.61735 
0.56687 -2155.58256 -304.69000 1490.42520 -563.33161 
0.58219 -1777.58440 -235.51648 1142.49015 -441.74226 
0.59751 -1398.14673 -172.85636 793.39147 -313.75572 
0.61283 -1017.62279 -116.80653 443.61880 -179.40952 
0.62815 -636.31808 -67.39288 93.60242 -38.78300 
0.64347 -254.61717 -24.58685 -256.17485 107.95632 
0.65879 127.21962 11.71398 -605.36419 260.62938 
0.67412 508.32955 41.61939 -953.09407 418.76191 
0.68944 889.92454 65.46448 -1300.39295 582.64705 
0.70476 1265.24237 83.06802 -1641.11279 749.28224 
0.72008 1657.17646 96.21167 -1995.86805 927.84878 
0.73540 1971.12163 100.09609 -2279.52068 1078.12494 
0.75072 2093.02796 91.74090 -2389.63524 1148.86783 
0.76604 2240.77149 83.31801 -2522.10629 1231.58156 
0.78136 2376.31473 73.26552 -2642.90249 1309.79078 
0.79668 2509.73794 62.17151 -2761.14099 1387.71877 
0.81200 2638.17048 50.12379 -2874.33668 1463.94267 
0.82732 2762.22914 37.31445 -2983.11924 1538.58575 
0.84264 2881.59363 23.90504 -3087.27803 1611.35564 
0.85796 2996.19829 10.05569 -3186.82631 1682.07955 
0.87328 3105.91193 -4.08102 -3281.71589 1750.55898 
0.88861 3210.62453 -18.35892 -3371.91446 1816.60985 
0.90393 3310.22434 -32.63856 -3457.38511 1880.05225 
0.91925 3404.60432 -46.78722 -3538.09190 1940.71394 
0.93457 3493.66076 -60.67899 -3613.99842 1998.43015 
0.94989 3577.29351 -74.19485 -3685.06791 2053.04411 
0.96521 3655.40762 -87.22275 -3751.26449 2104.40819 
0.98053 3727.90803 -99.65761 -3812.54849 2152.38150 
0.99585 3794.72092 -111.40199 -3868.89533 2196.84075 
1.01117 3855.71576 -122.36406 -3920.22665 2237.64113 
1.02649 3910.99902 -132.46704 -3966.67011 2274.76460 
1.04181 3959.81728 -141.61266 -4007.59018 2307.76423 
1.05713 4004.66271 -149.82760 -4045.21424 2337.85149 
1.07245 4035.92113 -156.69179 -4071.08071 2360.06687 
1.08778 4089.27071 -163.55996 -4116.68580 2392.63143 
