Time(s) Force[Z](Spherical:10)-ArfadaCaso2.iaa(N) Force[Y](Spherical:10)-ArfadaCaso2.iaa(N) Force[X](Spherical:10)-ArfadaCaso2.iaa(N) Force(Spherical:10)-ArfadaCaso2.iaa(N) Moment[Z](Spherical:10)-ArfadaCaso2.iaa(N.mm) Moment[Y](Spherical:10)-ArfadaCaso2.iaa(N.mm) Moment[X](Spherical:10)-ArfadaCaso2.iaa(N.mm) Moment(Spherical:10)-ArfadaCaso2.iaa(N.mm) 
0.00000 -0.10275 2640.54000 -0.00238 2640.54000 0.00001 0.00000 0.00004 0.00004 
0.00635 -0.10412 2691.33000 -0.00246 2691.33000 0.00000 0.00000 0.00000 0.00000 
0.01270 -0.10549 2742.12000 -0.00255 2742.12000 0.00000 0.00000 0.00000 0.00000 
0.01905 -0.10684 2792.91000 -0.00265 2792.91000 0.00000 0.00000 0.00000 0.00000 
0.02540 -0.10817 2843.74000 -0.00276 2843.74000 0.00000 0.00000 0.00000 0.00000 
0.03175 -0.10945 2894.67000 -0.00288 2894.67000 0.00000 -0.00000 0.00000 0.00000 
0.03810 -0.11066 2945.55000 -0.00301 2945.55000 0.00000 0.00000 0.00000 0.00000 
0.04445 -0.11181 2997.09000 -0.00315 2997.09000 0.00000 -0.00000 0.00000 0.00000 
0.05080 -0.11279 3046.87000 -0.00330 3046.87000 0.00000 -0.00000 0.00000 0.00000 
0.05715 -0.11233 3046.37000 -0.00338 3046.37000 0.00000 -0.00000 0.00000 0.00000 
0.06350 -0.11182 3047.71000 -0.00348 3047.71000 0.00000 -0.00000 0.00000 0.00000 
0.06985 -0.11120 3048.78000 -0.00358 3048.78000 0.00000 -0.00000 0.00000 0.00000 
0.07620 -0.11049 3050.12000 -0.00370 3050.12000 0.00000 -0.00000 0.00000 0.00000 
0.08255 -0.10968 3051.58000 -0.00382 3051.58000 0.00000 -0.00000 0.00000 0.00000 
0.08890 -0.10877 3053.20000 -0.00396 3053.20000 0.00000 -0.00000 0.00000 0.00000 
0.09525 -0.10776 3054.94000 -0.00411 3054.94000 0.00000 -0.00000 0.00000 0.00000 
0.10160 -0.10663 3056.81000 -0.00427 3056.81000 0.00000 -0.00000 0.00000 0.00000 
0.10795 -0.10540 3058.80000 -0.00445 3058.80000 0.00000 -0.00000 0.00000 0.00000 
0.11430 -0.10406 3060.88000 -0.00463 3060.88000 0.00000 0.00000 0.00000 0.00000 
0.12065 -0.10259 3063.06000 -0.00483 3063.06000 0.00000 -0.00000 0.00000 0.00000 
0.12700 -0.10100 3065.31000 -0.00504 3065.31000 0.00000 -0.00000 0.00000 0.00000 
0.13335 -0.09929 3067.63000 -0.00526 3067.63000 0.00000 0.00000 0.00000 0.00000 
0.13970 -0.09744 3069.99000 -0.00549 3069.99000 0.00000 0.00000 0.00000 0.00000 
0.14605 -0.09545 3072.38000 -0.00574 3072.38000 0.00000 -0.00000 0.00000 0.00000 
0.15240 -0.09332 3074.79000 -0.00600 3074.79000 0.00000 -0.00000 0.00000 0.00000 
0.15875 -0.09104 3077.19000 -0.00627 3077.19000 0.00000 -0.00000 0.00000 0.00000 
0.16510 -0.08860 3079.57000 -0.00655 3079.57000 0.00000 0.00000 0.00000 0.00000 
0.17145 -0.08599 3081.92000 -0.00685 3081.92000 0.00000 -0.00000 0.00000 0.00000 
0.17780 -0.08320 3084.15000 -0.00715 3084.15000 0.00000 -0.00000 0.00000 0.00000 
0.18415 -0.08023 3086.51000 -0.00747 3086.51000 0.00000 0.00000 0.00000 0.00000 
0.19050 -0.07706 3087.98000 -0.00779 3087.98000 0.00000 0.00000 0.00000 0.00000 
0.19685 -0.07370 3092.07000 -0.00814 3092.07000 0.00000 -0.00000 0.00000 0.00000 
0.20320 -0.07009 3085.57000 -0.00846 3085.57000 0.00000 -0.00000 0.00000 0.00000 
0.20955 -0.06633 3030.65000 -0.00861 3030.65000 0.00000 -0.00000 0.00000 0.00000 
0.21590 -0.06272 2980.87000 -0.00877 2980.87000 0.00000 -0.00000 0.00000 0.00000 
0.22225 -0.05925 2929.55000 -0.00893 2929.55000 0.00000 -0.00000 0.00000 0.00000 
0.22860 -0.05595 2878.49000 -0.00908 2878.49000 0.00000 -0.00000 0.00000 0.00000 
