Time(s) Force[Z](Spherical:9)-BalanceoCaso3.iaa(N) Force[Y](Spherical:9)-BalanceoCaso3.iaa(N) Force[X](Spherical:9)-BalanceoCaso3.iaa(N) Force(Spherical:9)-BalanceoCaso3.iaa(N) Moment[Z](Spherical:9)-BalanceoCaso3.iaa(N.mm) Moment[Y](Spherical:9)-BalanceoCaso3.iaa(N.mm) Moment[X](Spherical:9)-BalanceoCaso3.iaa(N.mm) Moment(Spherical:9)-BalanceoCaso3.iaa(N.mm) 
0.00000 -4351.96446 23.05535 1346.79649 4555.65000 -0.00187 0.01777 -0.00801 0.01958 
0.00910 -4553.83637 24.12548 1409.23951 4766.97000 0.00000 -0.00000 0.00000 0.00000 
0.01820 -4755.57846 25.19809 1471.38034 4978.06000 -0.00000 -0.00000 0.00000 0.00000 
0.02731 -4957.03230 26.27598 1532.86790 5188.69000 -0.00000 -0.00000 0.00000 0.00000 
0.03641 -5157.91391 27.36175 1593.26889 5398.46000 -0.00000 -0.00000 0.00000 0.00000 
0.04551 -5358.15880 28.45951 1652.17523 5607.17000 -0.00000 -0.00000 0.00000 0.00000 
0.05461 -5556.63861 29.56794 1708.80958 5813.53000 -0.00000 -0.00000 0.00000 0.00000 
0.06371 -5755.94750 30.70558 1763.49901 6020.12000 -0.00000 -0.00000 0.00000 0.00000 
0.07282 -5944.52517 31.81511 1812.20119 6214.70000 -0.00000 -0.00000 0.00000 0.00000 
0.08192 -5931.00578 31.87070 1796.51434 6197.20000 -0.00000 -0.00000 0.00000 0.00000 
0.09102 -5923.20359 31.97899 1780.06050 6184.98000 -0.00000 -0.00000 0.00000 0.00000 
0.10012 -5911.72101 32.08586 1760.01756 6168.24000 -0.00000 -0.00000 0.00000 0.00000 
0.10922 -5899.07242 32.20056 1737.17963 6149.63000 -0.00000 -0.00000 0.00000 0.00000 
0.11832 -5884.58426 32.31457 1711.38707 6128.48000 -0.00000 -0.00000 0.00000 0.00000 
0.12743 -5868.43566 32.42340 1682.73945 6105.01000 -0.00000 0.00000 0.00000 0.00000 
0.13653 -5850.57747 32.52079 1651.27395 6079.23000 -0.00000 -0.00000 0.00000 0.00000 
0.14563 -5831.02131 32.60032 1617.05019 6051.18000 -0.00000 -0.00000 0.00000 0.00000 
