Time(s) Force[Z](Spherical:10)-BalanceoCaso3.iaa(N) Force[Y](Spherical:10)-BalanceoCaso3.iaa(N) Force[X](Spherical:10)-BalanceoCaso3.iaa(N) Force(Spherical:10)-BalanceoCaso3.iaa(N) Moment[Z](Spherical:10)-BalanceoCaso3.iaa(N.mm) Moment[Y](Spherical:10)-BalanceoCaso3.iaa(N.mm) Moment[X](Spherical:10)-BalanceoCaso3.iaa(N.mm) Moment(Spherical:10)-BalanceoCaso3.iaa(N.mm) 
0.00000 -0.07194 -4554.15000 0.00183 4554.15000 0.00834 0.00049 0.01771 0.01958 
0.00910 -0.07504 -4765.45000 0.00180 4765.45000 -0.00000 -0.00000 0.00000 0.00000 
0.01820 -0.07812 -4976.53000 0.00178 4976.53000 -0.00000 -0.00000 0.00000 0.00000 
0.02731 -0.08119 -5187.15000 0.00175 5187.15000 -0.00000 -0.00000 0.00000 0.00000 
0.03641 -0.08424 -5396.89000 0.00173 5396.89000 0.00000 -0.00000 0.00000 0.00000 
0.04551 -0.08726 -5605.59000 0.00172 5605.59000 0.00000 -0.00000 0.00000 0.00000 
0.05461 -0.09023 -5811.94000 0.00171 5811.94000 0.00000 -0.00000 0.00000 0.00000 
0.06371 -0.09317 -6018.51000 0.00172 6018.51000 0.00000 -0.00000 0.00000 0.00000 
0.07282 -0.09591 -6213.07000 0.00175 6213.07000 0.00000 -0.00000 0.00000 0.00000 
0.08192 -0.09551 -6195.58000 0.00182 6195.58000 0.00000 -0.00000 0.00000 0.00000 
0.09102 -0.09515 -6183.36000 0.00190 6183.36000 0.00000 -0.00000 0.00000 0.00000 
0.10012 -0.09470 -6166.61000 0.00199 6166.61000 0.00000 -0.00000 0.00000 0.00000 
0.10922 -0.09418 -6148.00000 0.00210 6148.00000 0.00000 -0.00000 0.00000 0.00000 
0.11832 -0.09358 -6126.85000 0.00222 6126.85000 0.00000 -0.00000 0.00000 0.00000 
0.12743 -0.09292 -6103.39000 0.00235 6103.39000 0.00000 -0.00000 0.00000 0.00000 
0.13653 -0.09217 -6077.60000 0.00250 6077.60000 0.00000 -0.00000 0.00000 0.00000 
0.14563 -0.09136 -6049.55000 0.00266 6049.55000 -0.00000 -0.00000 0.00000 0.00000 
0.15473 -0.09046 -6019.27000 0.00284 6019.27000 0.00000 -0.00000 -0.00000 0.00001 
0.16383 -0.08949 -5986.82000 0.00303 5986.82000 -0.00000 -0.00000 0.00000 0.00000 
0.17294 -0.08843 -5952.24000 0.00323 5952.24000 0.00000 -0.00000 -0.00000 0.00000 
0.18204 -0.08730 -5915.60000 0.00345 5915.60000 0.00001 -0.00000 -0.00000 0.00001 
