Time(s) Force[Z](Spherical:10)-CabeceoCaso3.iaa(N) Force[Y](Spherical:10)-CabeceoCaso3.iaa(N) Force[X](Spherical:10)-CabeceoCaso3.iaa(N) Force(Spherical:10)-CabeceoCaso3.iaa(N) Moment[Z](Spherical:10)-CabeceoCaso3.iaa(N.mm) Moment[Y](Spherical:10)-CabeceoCaso3.iaa(N.mm) Moment[X](Spherical:10)-CabeceoCaso3.iaa(N.mm) Moment(Spherical:10)-CabeceoCaso3.iaa(N.mm) 
0.00000 -0.07119 -4546.37000 0.00197 4546.37000 0.00813 0.00049 0.01760 0.01939 
0.01532 -0.07224 -4789.37000 0.00199 4789.37000 0.00000 -0.00000 -0.00000 0.00000 
0.03064 -0.07328 -5031.59000 0.00201 5031.59000 0.00000 0.00000 -0.00000 0.00000 
0.04596 -0.07431 -5272.23000 0.00204 5272.23000 0.00000 -0.00000 -0.00000 0.00000 
0.06128 -0.07530 -5510.35000 0.00207 5510.35000 0.00000 -0.00000 -0.00000 0.00000 
0.07660 -0.07627 -5745.29000 0.00211 5745.29000 0.00000 -0.00000 -0.00000 0.00000 
0.09192 -0.07717 -5975.11000 0.00215 5975.11000 0.00000 0.00000 0.00000 0.00000 
0.10724 -0.07802 -6202.39000 0.00220 6202.39000 0.00000 -0.00000 -0.00000 0.00000 
0.12257 -0.07873 -6412.75000 0.00225 6412.75000 0.00000 -0.00000 -0.00000 0.00000 
0.13789 -0.07833 -6375.19000 0.00229 6375.19000 0.00000 -0.00000 -0.00000 0.00000 
0.15321 -0.07788 -6339.96000 0.00234 6339.96000 0.00000 -0.00000 -0.00000 0.00000 
0.16853 -0.07735 -6295.88000 0.00239 6295.88000 0.00000 -0.00000 -0.00000 0.00000 
0.18385 -0.07675 -6246.06000 0.00245 6246.06000 0.00000 -0.00000 -0.00000 0.00000 
0.19917 -0.07607 -6189.83000 0.00251 6189.83000 0.00000 -0.00000 -0.00000 0.00000 
0.21449 -0.07531 -6127.55000 0.00259 6127.55000 0.00000 -0.00000 -0.00000 0.00000 
0.22981 -0.07449 -6059.28000 0.00267 6059.28000 0.00000 -0.00000 -0.00000 0.00000 
0.24513 -0.07360 -5985.21000 0.00276 5985.21000 0.00001 -0.00000 -0.00000 0.00001 
0.26045 -0.07264 -5905.47000 0.00286 5905.47000 0.00001 -0.00000 -0.00000 0.00001 
0.27577 -0.07162 -5820.23000 0.00297 5820.23000 0.00000 -0.00000 -0.00000 0.00000 
0.29109 -0.07054 -5729.64000 0.00309 5729.64000 -0.00000 -0.00000 -0.00001 0.00001 
0.30642 -0.06939 -5633.84000 0.00322 5633.84000 0.00000 -0.00000 -0.00000 0.00000 
0.32174 -0.06820 -5533.00000 0.00337 5533.00000 0.00000 -0.00000 -0.00000 0.00000 
0.33706 -0.06694 -5427.26000 0.00353 5427.26000 0.00000 -0.00000 -0.00000 0.00000 
0.35238 -0.06564 -5316.74000 0.00370 5316.74000 0.00000 -0.00000 -0.00000 0.00000 
0.36770 -0.06428 -5201.59000 0.00389 5201.59000 0.00000 -0.00000 -0.00000 0.00000 
0.38302 -0.06287 -5081.93000 0.00410 5081.93000 0.00000 -0.00000 -0.00000 0.00000 
0.39834 -0.06141 -4957.84000 0.00433 4957.84000 0.00000 -0.00000 -0.00000 0.00000 
0.41366 -0.05991 -4829.50000 0.00457 4829.50000 0.00000 -0.00000 -0.00000 0.00000 
0.42898 -0.05836 -4696.70000 0.00485 4696.70000 0.00000 -0.00000 -0.00000 0.00000 
0.44430 -0.05676 -4560.62000 0.00514 4560.62000 0.00000 -0.00000 -0.00000 0.00000 
0.45962 -0.05510 -4417.19000 0.00546 4417.19000 -0.00000 -0.00000 -0.00000 0.00000 
0.47494 -0.05342 -4281.81000 0.00581 4281.81000 -0.00000 0.00000 -0.00000 0.00000 
0.49027 -0.05159 -4095.58000 0.00618 4095.58000 0.00000 -0.00000 -0.00000 0.00000 
0.50559 -0.04936 -3698.00000 0.00656 3698.00000 -0.00000 -0.00000 -0.00000 0.00000 
0.52091 -0.04727 -3323.43000 0.00698 3323.43000 -0.00000 -0.00000 -0.00000 0.00000 
0.53623 -0.04525 -2940.77000 0.00744 2940.77000 -0.00000 -0.00000 -0.00000 0.00000 
0.55155 -0.04332 -2558.74000 0.00794 2558.74000 -0.00000 -0.00000 -0.00000 0.00000 
0.56687 -0.04145 -2175.35000 0.00849 2175.35000 -0.00000 -0.00000 -0.00000 0.00000 
0.58219 -0.03965 -1791.46000 0.00910 1791.46000 -0.00000 -0.00000 -0.00000 0.00000 
0.59751 -0.03788 -1407.13000 0.00976 1407.13000 -0.00000 -0.00000 -0.00000 0.00000 
0.61283 -0.03612 -1022.64000 0.01049 1022.64000 -0.00000 -0.00000 -0.00000 0.00000 
0.62815 -0.03433 -638.21600 0.01128 638.21600 -0.00000 -0.00000 -0.00000 0.00000 
0.64347 -0.03248 -254.14000 0.01214 254.14000 -0.00000 -0.00000 -0.00000 0.00000 
0.65879 -0.03052 129.41900 0.01309 129.41900 -0.00000 -0.00000 -0.00000 0.00000 
0.67412 -0.02839 511.69300 0.01412 511.69300 -0.00000 -0.00000 -0.00000 0.00000 
0.68944 -0.02602 893.99300 0.01525 893.99300 -0.00000 -0.00000 -0.00000 0.00000 
0.70476 -0.02332 1269.63000 0.01647 1269.63000 -0.00000 -0.00000 -0.00000 0.00000 
0.72008 -0.02022 1661.63000 0.01780 1661.63000 -0.00000 -0.00000 -0.00000 0.00000 
0.73540 -0.01657 1975.33000 0.01924 1975.33000 -0.00000 -0.00000 -0.00000 0.00000 
0.75072 -0.01210 2096.71000 0.02082 2096.71000 -0.00000 -0.00000 -0.00000 0.00000 
0.76604 -0.00676 2243.99000 0.02251 2243.99000 -0.00000 -0.00000 -0.00000 0.00000 
0.78136 -0.00037 2379.12000 0.02431 2379.12000 -0.00000 -0.00000 -0.00000 0.00000 
0.79668 0.00724 2512.18000 0.02622 2512.18000 -0.00000 -0.00000 -0.00000 0.00000 
0.81200 0.01628 2640.32000 0.02823 2640.32000 -0.00000 -0.00000 -0.00000 0.00000 
0.82732 0.02697 2764.16000 0.03034 2764.16000 -0.00000 -0.00000 -0.00000 0.00000 
0.84264 0.03958 2883.37000 0.03254 2883.37000 -0.00000 -0.00000 -0.00000 0.00000 
0.85796 0.05440 2997.90000 0.03481 2997.90000 -0.00000 -0.00000 0.00000 0.00000 
0.87328 0.07174 3107.60000 0.03712 3107.60000 -0.00000 -0.00000 0.00000 0.00000 
0.88861 0.09195 3212.36000 0.03944 3212.36000 -0.00000 -0.00000 0.00000 0.00000 
0.90393 0.11537 3312.07000 0.04172 3312.07000 -0.00000 -0.00000 0.00000 0.00000 
0.91925 0.14238 3406.61000 0.04390 3406.61000 -0.00000 -0.00000 0.00000 0.00000 
0.93457 0.17329 3495.88000 0.04591 3495.88000 -0.00000 -0.00000 0.00000 0.00000 
0.94989 0.20842 3579.75000 0.04767 3579.75000 -0.00000 -0.00000 0.00000 0.00000 
0.96521 0.24798 3658.14000 0.04905 3658.14000 -0.00000 -0.00000 0.00000 0.00000 
0.98053 0.29206 3730.93000 0.04994 3730.93000 -0.00000 -0.00000 0.00000 0.00000 
0.99585 0.34057 3798.05000 0.05020 3798.05000 -0.00000 -0.00000 0.00000 0.00000 
1.01117 0.39317 3859.35000 0.04969 3859.35000 -0.00000 -0.00000 0.00000 0.00000 
1.02649 0.44925 3914.94000 0.04825 3914.94000 -0.00000 -0.00000 0.00000 0.00000 
1.04181 0.50782 3964.05000 0.04575 3964.05000 -0.00000 -0.00000 0.00000 0.00000 
1.05713 0.56751 4009.16000 0.04207 4009.16000 -0.00000 -0.00000 0.00000 0.00000 
1.07245 0.62658 4040.66000 0.03713 4040.66000 -0.00000 -0.00000 0.00000 0.00000 
1.08778 0.68291 4094.24000 0.03092 4094.24000 -0.00000 -0.00000 0.00000 0.00000 
1.10310 0.73438 4014.56000 0.02349 4014.56000 0.00000 -0.00000 0.00000 0.00000 
1.11842 0.77864 3770.91000 0.01498 3770.91000 0.00000 -0.00000 0.00000 0.00000 
